ortholog	function	Homo_sapiens	Mus_musculus
ENOG410V5NA	asparagine synthetase	ENSP00000175506	ENSMUSP00000031766
ENOG410V5NB	omega-3 fatty acid receptor 1	ENSP00000360538	ENSMUSP00000063660
ENOG410V5NC	Ring finger protein 4	ENSP00000315212	ENSMUSP00000030992
ENOG410V5NM	polymerase (DNA directed), epsilon 2, accessory subunit	ENSP00000216367	ENSMUSP00000021359
ENOG410V5NN	Zinc finger and BTB domain containing 41	ENSP00000356375	ENSMUSP00000045570
ENOG410V5NI	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2	ENSP00000356155, ENSP00000265970, ENSP00000266497	ENSMUSP00000126092, ENSMUSP00000107499, ENSMUSP00000076911
ENOG410V5NJ	Protein kinase C and casein kinase substrate in neurons	ENSP00000244458, ENSP00000298838, ENSP00000263246	ENSMUSP00000028694, ENSMUSP00000058320, ENSMUSP00000044168
ENOG410V5NK	ATP-binding cassette, subfamily B (MDR TAP), member	ENSP00000253577, ENSP00000265316	ENSMUSP00000033695, ENSMUSP00000027396
ENOG410V5N6	fms-related tyrosine kinase 3 ligand	ENSP00000468977	ENSMUSP00000082492
ENOG410VH1Y	transmembrane protein 156	ENSP00000371364	ENSMUSP00000044102
ENOG410V5N8	enhancer of polycomb homolog	ENSP00000258484, ENSP00000263062	ENSMUSP00000089758, ENSMUSP00000028100
ENOG410V5N9	Catalyzes the hydrolysis of N-formyl-L-kynurenine to L- kynurenine, the second step in the kynurenine pathway of tryptophan degradation. Kynurenine may be further oxidized to nicotinic acid, NAD(H) and NADP(H). Required for elimination of toxic metabolites	ENSP00000328938	ENSMUSP00000073102
ENOG410VAC9	neuregulin 3	ENSP00000361214	ENSMUSP00000136884
ENOG410VAC3	G protein-coupled receptor 180	ENSP00000366157	ENSMUSP00000022728
ENOG410VAC2	T, brachyury homolog (mouse)	ENSP00000296946, ENSP00000356795	ENSMUSP00000027859, ENSMUSP00000074236
ENOG410VAC1	chromosome 7 open reading frame 57	ENSP00000335500	ENSMUSP00000039806
ENOG410VAC7	phospholipase A2 inhibitor and LY6 PLAUR domain containing	ENSP00000469886	ENSMUSP00000011776
ENOG410VAC4	Homeobox D4	ENSP00000302548	ENSMUSP00000047949
ENOG410VACJ	Cytochrome P450, family 39, subfamily a, polypeptide 1	ENSP00000275016	ENSMUSP00000130073
ENOG410VACE	chromosome 15 open reading frame 23	ENSP00000249776	ENSMUSP00000115860
ENOG410VACW	netrin 5	ENSP00000270235	ENSMUSP00000103371
ENOG410VJED	persephin	ENSP00000245810	ENSMUSP00000002740
ENOG410VJEE	zinc finger, CCHC domain containing 10	ENSP00000324274	ENSMUSP00000018383
ENOG410VJEJ	testis expressed 29	ENSP00000283547	ENSMUSP00000033909
ENOG410VJEH	CDC42 small effector	ENSP00000353706	ENSMUSP00000070725
ENOG410VJEN	CART prepropeptide	ENSP00000296777	ENSMUSP00000022150
ENOG410VJEM	cytochrome c oxidase assembly factor 3	ENSP00000354762	ENSMUSP00000017332
ENOG410VJER	mitochondrial pyruvate carrier 2	ENSP00000271373	ENSMUSP00000027853
ENOG410VJEQ	CDC42 small effector 1	ENSP00000349773	ENSMUSP00000052986
ENOG410VJEU	WAP four-disulfide core domain 5	ENSP00000361875	ENSMUSP00000035824
ENOG410VJE3	S100 calcium binding protein	ENSP00000291700	ENSMUSP00000047968
ENOG410VJE1	translocase of inner mitochondrial membrane 9 homolog (yeast)	ENSP00000378588	ENSMUSP00000021486
ENOG410VJE6	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	ENSP00000293860	ENSMUSP00000044582
ENOG410VJE9	Synaptonemal complex central element protein 3	ENSP00000385122	ENSMUSP00000104937
ENOG410VI7H	Chemokine-like factor	ENSP00000264001	ENSMUSP00000034342
ENOG410VFC3	ubiquitin protein ligase E3D	ENSP00000358762	ENSMUSP00000034986
ENOG410VFC6	ankyrin repeat domain 53	ENSP00000353796	ENSMUSP00000014891
ENOG410VFCX	Coiled-coil domain containing 57	ENSP00000374292	ENSMUSP00000050996
ENOG410VFCZ	hepatitis A virus cellular receptor 2	ENSP00000312002	ENSMUSP00000020668
ENOG410VFCS	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	ENSP00000289753	ENSMUSP00000068333
ENOG410VFCW	chemokine (C-X-C motif) receptor	ENSP00000362795, ENSP00000292174	ENSMUSP00000052444, ENSMUSP00000050444
ENOG410VFCH	Synaptonemal complex central element protein 1	ENSP00000341282	ENSMUSP00000026553
ENOG410VFCA	ER membrane protein complex subunit 4	ENSP00000267750	ENSMUSP00000028551
ENOG410VFCC	Transmembrane protein 128	ENSP00000254742	ENSMUSP00000084788
ENOG410V6D1	Dimethylaniline monooxygenase (N-oxide-forming)	ENSP00000356729, ENSP00000254090, ENSP00000236166, ENSP00000346901, ENSP00000462062, ENSP00000209929	ENSMUSP00000136378, ENSMUSP00000027843, ENSMUSP00000037259, ENSMUSP00000028010, ENSMUSP00000039839, ENSMUSP00000044405, ENSMUSP00000123476, ENSMUSP00000029729
ENOG410V6D0	NLR family pyrin domain containing	ENSP00000458345, ENSP00000459870, ENSP00000458572, ENSP00000467123, ENSP00000460652, ENSP00000469835, ENSP00000458310, ENSP00000461744, ENSP00000460480, ENSP00000458217, ENSP00000459053, ENSP00000459927, ENSP00000458168, ENSP00000460381, ENSP00000459160, ENSP00000459166, ENSP00000409370	ENSMUSP00000045077
ENOG410V6D3	phosphorylase kinase	ENSP00000313504, ENSP00000362643, ENSP00000472174, ENSP00000369274	ENSMUSP00000050788, ENSMUSP00000033652, ENSMUSP00000061991
ENOG410V6DU	Adaptor-related protein complex 3 beta	ENSP00000255194, ENSP00000261722	ENSMUSP00000080739, ENSMUSP00000022196
ENOG410V6DQ	Pelota homolog (Drosophila)	ENSP00000274311	ENSMUSP00000104849
ENOG410V6DP	Major histocompatibility complex class II	ENSP00000395780, ENSP00000372734, ENSP00000331343, ENSP00000408146, ENSP00000416022, ENSP00000409322, ENSP00000322293, ENSP00000407674, ENSP00000405108, ENSP00000353099, ENSP00000388763, ENSP00000382025, ENSP00000390020, ENSP00000394783, ENSP00000387578, ENSP00000399298, ENSP00000391938, ENSP00000364114, ENSP00000406872, ENSP00000405960, ENSP00000410390, ENSP00000382378, ENSP00000372582, ENSP00000372602, ENSP00000390431, ENSP00000397268, ENSP00000394759, ENSP00000414196, ENSP00000446833, ENSP00000372607, ENSP00000409159, ENSP00000394272, ENSP00000382034, ENSP00000302517, ENSP00000411427, ENSP00000382422, ENSP00000382018, ENSP00000396095, ENSP00000389288	ENSMUSP00000041008, ENSMUSP00000092985, ENSMUSP00000074143, ENSMUSP00000056814
ENOG410V6DR	Transmembrane channel-like	ENSP00000379531, ENSP00000313408	ENSMUSP00000026659, ENSMUSP00000095694
ENOG410V6DM	solute carrier family 11 (proton-coupled divalent metal ion transporters), member	ENSP00000233202, ENSP00000378364	ENSMUSP00000027368, ENSMUSP00000023774
ENOG410V6DI	Inositol polyphosphate-1-phosphatase	ENSP00000325423	ENSMUSP00000027271
ENOG410V6DD	selenoprotein P, plasma, 1	ENSP00000420939	ENSMUSP00000081004
ENOG410V6DA	WD repeat domain	ENSP00000469655, ENSP00000376139	ENSMUSP00000041456, ENSMUSP00000026173
ENOG410WE2X	family with sequence similarity 211, member A	ENSP00000419502	ENSMUSP00000062489
ENOG410VBWQ	Solute carrier family 12 (Potassium chloride transporters), member 8	ENSP00000377112	ENSMUSP00000062337
ENOG410VBWU	Minichromosome maintenance complex component 9	ENSP00000314505	ENSMUSP00000074978
ENOG410VBWY	Netrin 4	ENSP00000340998	ENSMUSP00000020204
ENOG410VBWA	endoplasmic reticulum protein 27	ENSP00000266397	ENSMUSP00000032343
ENOG410VBWG	leucine rich repeat and sterile alpha motif containing 1	ENSP00000300417	ENSMUSP00000028132
ENOG410VBWJ	transmembrane protein 38a	ENSP00000187762	ENSMUSP00000034244
ENOG410VBWM	sosondowah ankyrin repeat domain family member A	ENSP00000367965	ENSMUSP00000100561
ENOG410VBW0	Tripartite motif family-like 1	ENSP00000327738	ENSMUSP00000050267
ENOG410VBW1	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	ENSP00000271452	ENSMUSP00000028000
ENOG410VBW4	Desumoylating isopeptidase 1	ENSP00000263256	ENSMUSP00000121504
ENOG410VKYJ	Unknown	ENSP00000465368	ENSMUSP00000113155
ENOG410VA69	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity)	ENSP00000312066	ENSMUSP00000021133
ENOG410VA60	ankyrin repeat	ENSP00000432016, ENSP00000351416, ENSP00000297183	ENSMUSP00000014421, ENSMUSP00000123270
ENOG410VA61	t-complex-associated-testis-expressed 3	ENSP00000355736	ENSMUSP00000095011, ENSMUSP00000095012, ENSMUSP00000036704
ENOG410VA62	Glycoprotein	ENSP00000357229, ENSP00000360217, ENSP00000268122	ENSMUSP00000032766, ENSMUSP00000130767, ENSMUSP00000024721
ENOG410VA63	protease, serine, 45	ENSP00000401932	ENSMUSP00000011391
ENOG410VA64	Duffy blood group chemokine receptor	ENSP00000357103	ENSMUSP00000045134
ENOG410VA65	GA binding protein transcription factor beta subunit	ENSP00000220429, ENSP00000357914	ENSMUSP00000096470, ENSMUSP00000099517
ENOG410VA67	cell division cycle 45 homolog (S. cerevisiae)	ENSP00000405726	ENSMUSP00000000028
ENOG410VA6H	nuclear fragile X mental retardation protein interacting protein 2	ENSP00000225388	ENSMUSP00000098365
ENOG410VA6I	tubulin tyrosine ligase-like family, member 12	ENSP00000216129	ENSMUSP00000016901
ENOG410VA6J	excision repair cross-complementing rodent repair deficiency, complementation group 6-like 2	ENSP00000288985	ENSMUSP00000069488
ENOG410VA6K	Membrane bound O-acyltransferase domain containing 7	ENSP00000459195, ENSP00000460826, ENSP00000245615, ENSP00000468939, ENSP00000459731, ENSP00000470018, ENSP00000471682, ENSP00000469932, ENSP00000471269	ENSMUSP00000037107
ENOG410VA6M	ADAM metallopeptidase domain 10	ENSP00000260408	ENSMUSP00000063839
ENOG410VA6N	MORN repeat containing 4	ENSP00000307636	ENSMUSP00000062887
ENOG410VA6B	Dentin matrix acidic phosphoprotein 1	ENSP00000340935	ENSMUSP00000068053
ENOG410VA6D	coagulation factor II (thrombin) receptor	ENSP00000321326	ENSMUSP00000061754
ENOG410VA6E	pseudouridylate synthase 7 homolog (S. cerevisiae)	ENSP00000348722	ENSMUSP00000113801
ENOG410VA6F	CytoChrome c oxidase assembly	ENSP00000299335	ENSMUSP00000020851
ENOG410VA6X	Nuclear transcription factor Y	ENSP00000396620	ENSMUSP00000047441
ENOG410VA6Y	Cone-rod homeobox	ENSP00000221996	ENSMUSP00000126642
ENOG410VA6Z	chaperonin containing TCP1, subunit 5 (epsilon)	ENSP00000280326	ENSMUSP00000022842
ENOG410VA6P	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	ENSP00000254803	ENSMUSP00000087896
ENOG410VA6S	checkpoint kinase 1	ENSP00000388648	ENSMUSP00000034625
ENOG410VA6T	Arrestin domain containing	ENSP00000222250, ENSP00000265138	ENSMUSP00000096957, ENSMUSP00000002989
ENOG410VA6U	Bone morphogenetic protein 15	ENSP00000252677, ENSP00000469070	ENSMUSP00000024049
ENOG410VA6V	Complement component 8, gamma polypeptide	ENSP00000224181	ENSMUSP00000041855
ENOG410VA6W	chromosome 20 open reading frame 72	ENSP00000366939	ENSMUSP00000028910
ENOG410V56U	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	ENSP00000402608, ENSP00000264705	ENSMUSP00000013773, ENSMUSP00000027144
ENOG410V56V	ubiquitin protein ligase	ENSP00000381045, ENSP00000298068	ENSMUSP00000103161, ENSMUSP00000128387
ENOG410V56Q	adipocyte plasma membrane associated protein	ENSP00000217456	ENSMUSP00000040840
ENOG410VDP8	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	ENSP00000274255	ENSMUSP00000094225
ENOG410VDPC	Transmembrane protein 119	ENSP00000376553	ENSMUSP00000070551
ENOG410VAYR	sterile alpha motif domain containing 11	ENSP00000342313	ENSMUSP00000136611
ENOG410VH2M	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	ENSP00000459855, ENSP00000460333, ENSP00000459700, ENSP00000301219	ENSMUSP00000113091
ENOG410VJ8S	histidine triad nucleotide binding protein	ENSP00000259667, ENSP00000304229	ENSMUSP00000020504, ENSMUSP00000030192
ENOG410VJ8G	Chromosome 1 open reading frame 54	ENSP00000358095, ENSP00000462263	ENSMUSP00000102749
ENOG410VJ8A	Immediate early response	ENSP00000256433	ENSMUSP00000026487
ENOG410VMN0	Small proline-rich protein 4	ENSP00000332163	ENSMUSP00000051559
ENOG410VMNF	Family with sequence similarity 32, member A	ENSP00000263384	ENSMUSP00000003123
ENOG410VBVN	Myosin light chain phosphorylatable fast skeletal muscle	ENSP00000325239	ENSMUSP00000032910
ENOG410WITF	Family with sequence similarity 173, member A	ENSP00000454380	ENSMUSP00000072518
ENOG410WITN	Regulatory factor X, 7	ENSP00000397644	ENSMUSP00000127192
ENOG410WITJ	glycerol-3-phosphate acyltransferase 2, mitochondrial	ENSP00000352547	ENSMUSP00000106002
ENOG410WITQ	regulatory factor X, 4 (influences HLA class II expression)	ENSP00000350552, ENSP00000332208	ENSMUSP00000116057
ENOG410WIT1	AhpC TSA antioxidant enzyme domain containing 1	ENSP00000364382	ENSMUSP00000021938
ENOG410VGT4	doublecortin domain containing 2B	ENSP00000386870	ENSMUSP00000135913
ENOG410WH9P	WNT inhibitory factor 1	ENSP00000286574	ENSMUSP00000020439
ENOG410VFC8	Family with sequence similarity 64, member A	ENSP00000250056	ENSMUSP00000021164
ENOG410W1R2	Methylenetetrahydrofolate dehydrogenase (NADP dependent)	ENSP00000379108, ENSP00000377617	ENSMUSP00000005810, ENSMUSP00000071578
ENOG410W1RT	alanyl-tRNA synthetase domain containing 1	ENSP00000402835, ENSP00000386621	ENSMUSP00000102880, ENSMUSP00000067912
ENOG410W1RR	Hemicentin 1	ENSP00000271588, ENSP00000277491	ENSMUSP00000109160, ENSMUSP00000074340
ENOG410W1RF	ADP-ribosylhydrolase like 1	ENSP00000349496, ENSP00000364567	ENSMUSP00000002923, ENSMUSP00000033825
ENOG410VEAN	Arylsulfatase family, member K	ENSP00000369346	ENSMUSP00000113274
ENOG410V4BS	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	ENSP00000451560, ENSP00000320295, ENSP00000318697	ENSMUSP00000071134, ENSMUSP00000001513
ENOG410V4BR	Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)	ENSP00000381982, ENSP00000352208, ENSP00000386881, ENSP00000272371	ENSMUSP00000080579, ENSMUSP00000073803, ENSMUSP00000105240, ENSMUSP00000125718, ENSMUSP00000045036
ENOG410V4BM	testis expressed 36	ENSP00000357811	ENSMUSP00000033275
ENOG410V4B0	dCMP deaminase	ENSP00000349576	ENSMUSP00000033966
ENOG410V4B9	filamin A interacting protein 1-like	ENSP00000346560	ENSMUSP00000124179
ENOG410VD2V	Telomeric repeat binding factor 2, interacting protein	ENSP00000300086	ENSMUSP00000052170
ENOG410VD2Q	glutathione peroxidase 8	ENSP00000423822	ENSMUSP00000022282
ENOG410VD2P	Spi-C transcription factor (Spi-1 PU.1 related)	ENSP00000299272	ENSMUSP00000004473
ENOG410VD2S	Pentraxin 3, long	ENSP00000295927	ENSMUSP00000029421
ENOG410VD2R	THO complex 5	ENSP00000380969	ENSMUSP00000045580
ENOG410VD2Y	6-phosphogluconolactonase	ENSP00000252603	ENSMUSP00000034264
ENOG410VD2G	chromosome 11 open reading frame 48	ENSP00000346600	ENSMUSP00000137432
ENOG410VD2A	In presence of calcium ions, it binds to surfactant phospholipids and contributes to lower the surface tension at the air-liquid interface in the alveoli of the mammalian lung and is essential for normal respiration	ENSP00000361400, ENSP00000397082	ENSMUSP00000022314
ENOG410VD2C	v-rel reticuloendotheliosis viral oncogene homolog B	ENSP00000221452	ENSMUSP00000092355
ENOG410VD2M	glyoxylate reductase 1 homolog (Arabidopsis)	ENSP00000322716	ENSMUSP00000111510
ENOG410VD2N	Fanconi anemia, complementation group B	ENSP00000326819	ENSMUSP00000128141
ENOG410VD22	cytokine inducible SH2-containing protein	ENSP00000409346	ENSMUSP00000082183
ENOG410VD29	polymerase (DNA directed), epsilon, catalytic subunit	ENSP00000322570	ENSMUSP00000007296
ENOG410WIAP	TNF receptor-associated factor	ENSP00000376500	ENSMUSP00000021706
ENOG410WIAF	Tnf receptor-associated factor 2	ENSP00000247668	ENSMUSP00000028311
ENOG410V6C2	ddb1 and cul4 associated factor 5	ENSP00000341351	ENSMUSP00000052755
ENOG410V6C3	inner membrane protein, mitochondrial	ENSP00000387262	ENSMUSP00000066181
ENOG410V6C5	serologically defined colon cancer antigen 8	ENSP00000355499	ENSMUSP00000027785
ENOG410V6CI	May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity	ENSP00000222693	ENSMUSP00000000058
ENOG410VIR9	CDC42 effector protein (Rho GTPase binding) 5	ENSP00000301200, ENSP00000461404, ENSP00000461306	ENSMUSP00000092508
ENOG410VIR5	colony stimulating factor 2 (granulocyte-macrophage)	ENSP00000296871	ENSMUSP00000019060
ENOG410VIR1	lymphocyte antigen 6 complex, locus G5C	ENSP00000372724	ENSMUSP00000039151
ENOG410VIR3	Basic leucine zipper transcription factor, ATF-like 3	ENSP00000243440	ENSMUSP00000027943
ENOG410VIRF	IQ motif containing F6	ENSP00000381760	ENSMUSP00000131823
ENOG410VIRG	chromosome 7 open reading frame 55	ENSP00000297534	ENSMUSP00000019833
ENOG410VIRC	EF-hand calcium binding domain 10	ENSP00000417841	ENSMUSP00000020878
ENOG410VIRP	churchill domain containing 1	ENSP00000450144	ENSMUSP00000047015
ENOG410VFCM	Growth differentiation factor 1	ENSP00000247005	ENSMUSP00000045892
ENOG410VCAW	Galactosidase, alpha	ENSP00000379680, ENSP00000218516, ENSP00000471787	ENSMUSP00000023088, ENSMUSP00000033621
ENOG410VCAX	Ribosomal L1 domain containing 1	ENSP00000460871	ENSMUSP00000113431
ENOG410VMDM	prolactin releasing hormone	ENSP00000165524	ENSMUSP00000130768
ENOG410WFKS	Dedicator of cytokinesis 8	ENSP00000408464	ENSMUSP00000025831
ENOG410WFKE	Solute carrier family 16, member 4 (Monocarboxylic acid transporter 5)	ENSP00000358794	ENSMUSP00000029502
ENOG410WFK7	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	ENSP00000261187	ENSMUSP00000065433
ENOG410V4SF	Mediator complex subunit 8	ENSP00000290663	ENSMUSP00000019229
ENOG410V4SG	X-prolyl aminopeptidase (Aminopeptidase P)	ENSP00000360147, ENSP00000421566	ENSMUSP00000076951, ENSMUSP00000070946
ENOG410V4SB	V-ets erythroblastosis virus E26 oncogene homolog	ENSP00000353344, ENSP00000376436	ENSMUSP00000034534, ENSMUSP00000023612
ENOG410V4SC	-cerebellin	ENSP00000269503, ENSP00000219197, ENSP00000064571	ENSMUSP00000068863, ENSMUSP00000085263, ENSMUSP00000034076
ENOG410V4SN	Transmembrane protease serine 6	ENSP00000334962	ENSMUSP00000017086
ENOG410V4SK	Ribosomal protein, large, P0	ENSP00000339027	ENSMUSP00000083705, ENSMUSP00000132472
ENOG410V4SW	receptor	ENSP00000262441, ENSP00000362353, ENSP00000467494, ENSP00000383558	ENSMUSP00000092384, ENSMUSP00000026119, ENSMUSP00000061560, ENSMUSP00000110221
ENOG410V4ST	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	ENSP00000233146	ENSMUSP00000024967
ENOG410V4S6	dihydropyrimidinase-like 5	ENSP00000288699	ENSMUSP00000085400
ENOG410V4S7	Josephin domain containing	ENSP00000375691, ENSP00000216039	ENSMUSP00000023061, ENSMUSP00000048415
ENOG410V4S5	protein serine kinase	ENSP00000276616, ENSP00000291041	ENSMUSP00000061700
ENOG410V4S3	solute carrier family 22	ENSP00000355920, ENSP00000355930	ENSMUSP00000077428, ENSMUSP00000091289, ENSMUSP00000020586, ENSMUSP00000041186
ENOG410V4S8	Peroxiredoxin 6	ENSP00000342026	ENSMUSP00000071636
ENOG410VB26	Ribonucleoprotein PTB-binding	ENSP00000293677	ENSMUSP00000043142, ENSMUSP00000111150
ENOG410VB28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	ENSP00000358716	ENSMUSP00000088176
ENOG410VB2K	membrane-spanning 4-domains subfamily A member	ENSP00000300226	ENSMUSP00000025636
ENOG410VB2N	TruB pseudouridine (psi) synthase homolog 1 (E. coli)	ENSP00000298746	ENSMUSP00000026073
ENOG410VB2M	myocyte enhancer factor	ENSP00000346389, ENSP00000271555, ENSP00000340874	ENSMUSP00000117496, ENSMUSP00000001455, ENSMUSP00000132547
ENOG410VB2S	Leucine rich repeat containing 3B	ENSP00000379880	ENSMUSP00000059463
ENOG410VB2P	unc-51-like kinase 4 (C. elegans)	ENSP00000301831	ENSMUSP00000131342
ENOG410VB2W	TGF-beta activated kinase 1 MAP3K7 binding protein 3	ENSP00000288422	ENSMUSP00000039668
ENOG410VB2T	transmembrane emp24 domain trafficking protein 2	ENSP00000262225	ENSMUSP00000054834
ENOG410VB2Z	monocyte to macrophage differentiation-associated	ENSP00000384690, ENSP00000262065	ENSMUSP00000039357, ENSMUSP00000004050
ENOG410VB2Y	cysteine-serine-rich nuclear protein	ENSP00000318258, ENSP00000228515	ENSMUSP00000052144, ENSMUSP00000055719
ENOG410VB2X	Uroplakin 1B	ENSP00000264234	ENSMUSP00000052469
ENOG410VII7	chromosome 15 open reading frame 40	ENSP00000403987	ENSMUSP00000026092
ENOG410VII2	Grb2-binding adaptor protein, transmembrane	ENSP00000323075	ENSMUSP00000053775
ENOG410VIIN	Basic leucine zipper transcription factor, ATF-like	ENSP00000286639	ENSMUSP00000040706
ENOG410VIIJ	Seems to regulate the formation of crystallites during the secretory stage of tooth enamel development. Thought to play a major role in the structural organization and mineralization of developing enamel	ENSP00000370088, ENSP00000215479	ENSMUSP00000065966
ENOG410VIIF	glycoprotein hormone alpha 2	ENSP00000279168	ENSMUSP00000025698
ENOG410VIIY	Olfactory marker protein	ENSP00000436376, ENSP00000459496	ENSMUSP00000095882
ENOG410VIIX	transmembrane protein 216	ENSP00000440638	ENSMUSP00000025569
ENOG410VIIU	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	ENSP00000215754	ENSMUSP00000041149
ENOG410VIIW	Chromosome 21 open reading frame 58	ENSP00000291691	ENSMUSP00000090061
ENOG410VIIV	CDGSH iron sulfur domain 3	ENSP00000391402	ENSMUSP00000103209
ENOG410VIIQ	oncomodulin 2	ENSP00000257627	ENSMUSP00000031622
ENOG410VIIR	Family with sequence similarity 127, member	ENSP00000375268, ENSP00000375267, ENSP00000257013	ENSMUSP00000069901, ENSMUSP00000086157, ENSMUSP00000086158
ENOG410V62Q	rabaptin, RAB GTPase binding effector protein 1	ENSP00000262477	ENSMUSP00000075619
ENOG410W1S2	Ribosomal protein S5	ENSP00000196551	ENSMUSP00000004554
ENOG410V95Y	notchless homolog 1 (Drosophila)	ENSP00000413572	ENSMUSP00000099502
ENOG410V95X	Cyclin Y	ENSP00000363836, ENSP00000342344	ENSMUSP00000092499, ENSMUSP00000050001
ENOG410V95P	WD repeat domain 36	ENSP00000423067	ENSMUSP00000052465
ENOG410V95S	RAB25, member RAS oncogene family	ENSP00000354376	ENSMUSP00000008745
ENOG410V95R	B-cell CLL lymphoma	ENSP00000223368, ENSP00000459987	ENSMUSP00000031692
ENOG410V95U	kinesin family member 11	ENSP00000260731	ENSMUSP00000012587
ENOG410V95T	RAN GTPase activating protein 1	ENSP00000348577	ENSMUSP00000057771
ENOG410V95W	coiled-coil domain containing 79	ENSP00000462883	ENSMUSP00000067324
ENOG410V95V	TATA box binding protein (Tbp)-associated factor, RNA polymerase I, C	ENSP00000367802	ENSMUSP00000090789
ENOG410V95I	LTV1 homolog (S. cerevisiae)	ENSP00000356548	ENSMUSP00000019950
ENOG410V95K	kruppel-like factor	ENSP00000419923, ENSP00000309570	ENSMUSP00000000080, ENSMUSP00000054674
ENOG410V95J	Olfactory receptor	ENSP00000305469, ENSP00000311688	ENSMUSP00000054924
ENOG410V95M	Olfactory receptor	ENSP00000321447, ENSP00000386195, ENSP00000310337, ENSP00000311605, ENSP00000307751	ENSMUSP00000046688, ENSMUSP00000079190, ENSMUSP00000097345, ENSMUSP00000107167, ENSMUSP00000073260, ENSMUSP00000080399
ENOG410V95N	Ubiquinol-cytochrome c reductase complex chaperone	ENSP00000363506	ENSMUSP00000105264
ENOG410V95C	Lipase maturation factor 2	ENSP00000424381	ENSMUSP00000023283
ENOG410V95B	citrate synthase	ENSP00000342056	ENSMUSP00000005826
ENOG410V95E	glial fibrillary acidic protein	ENSP00000253408	ENSMUSP00000064691
ENOG410WHVF	epithelial cell transforming sequence 2 oncogene-like	ENSP00000356655	ENSMUSP00000093497
ENOG410WHVT	glyoxalase domain containing 4	ENSP00000301329	ENSMUSP00000017430
ENOG410VE6X	minichromosome maintenance domain containing 2	ENSP00000413632	ENSMUSP00000128620
ENOG410VE6Y	Amnionless homolog (Mouse)	ENSP00000299155	ENSMUSP00000021707
ENOG410VE6Z	leucine-rich repeats and guanylate kinase domain containing	ENSP00000285928	ENSMUSP00000065146
ENOG410VE6T	Nuclear transport factor 2-like export factor 2	ENSP00000218004, ENSP00000254998	ENSMUSP00000038329, ENSMUSP00000048221
ENOG410VE6U	transmembrane protein 126A	ENSP00000306887	ENSMUSP00000032844
ENOG410VE6P	golgin A7	ENSP00000350378	ENSMUSP00000062983
ENOG410VE6M	GRB2-associated binding protein 1	ENSP00000383431, ENSP00000262995	ENSMUSP00000034150
ENOG410VE6N	nephrosis 2, idiopathic, steroid-resistant (podocin)	ENSP00000356587	ENSMUSP00000027896
ENOG410VE6H	Regulator of calcineurin 1	ENSP00000320768	ENSMUSP00000060394
ENOG410VE6J	Uroporphyrinogen III synthase	ENSP00000357775	ENSMUSP00000033276
ENOG410VE6D	Zinc finger with KRAB and SCAN domains	ENSP00000366509, ENSP00000252211	ENSMUSP00000054604, ENSMUSP00000068424
ENOG410VE6E	G protein-coupled bile acid receptor 1	ENSP00000428824	ENSMUSP00000077135
ENOG410VE6A	kininogen 1	ENSP00000265023	ENSMUSP00000097623, ENSMUSP00000023589
ENOG410VE6B	Succinate dehydrogenase complex, subunit C, integral membrane protein	ENSP00000356953	ENSMUSP00000106968
ENOG410VE6C	PHD and ring finger domains 1	ENSP00000410626	ENSMUSP00000101648
ENOG410V626	cathepsin b	ENSP00000342070	ENSMUSP00000006235
ENOG410VE61	family with sequence similarity 208, member B	ENSP00000328426	ENSMUSP00000093774
ENOG410VE63	Lectin, galactoside-binding, soluble	ENSP00000378856, ENSP00000315564, ENSP00000329932	ENSMUSP00000103904
ENOG410V620	Signal transducing adaptor family member 2	ENSP00000317912	ENSMUSP00000038130
ENOG410WG4Z	pleckstrin homology domain containing, family A member 5	ENSP00000347560	ENSMUSP00000084904
ENOG410VCC5	Tescalcin	ENSP00000334785	ENSMUSP00000031304
ENOG410VCC4	RNA binding motif protein	ENSP00000343054, ENSP00000366829	ENSMUSP00000068188, ENSMUSP00000035199
ENOG410VCC6	Methylenetetrahydrofolate reductase	ENSP00000365775	ENSMUSP00000069774
ENOG410VCC1	electron-transferring-flavoprotein dehydrogenase	ENSP00000426638	ENSMUSP00000029386
ENOG410VCC0	transmembrane (C-terminal) protease, serine 12	ENSP00000381476	ENSMUSP00000093914
