ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410V5TG	zinc finger and BTB domain containing 2	ENSPTRP00000031927	ENSMUSP00000097655
ENOG410V5TD	Eukaryotic translation initiation factor 2, subunit	ENSPTRP00000054742	ENSMUSP00000059395, ENSMUSP00000088736
ENOG410V5TE	Chromosome 9 open reading frame 64	ENSPTRP00000035999	ENSMUSP00000022032
ENOG410V5TN	Leukotriene B4 receptor	ENSPTRP00000010552	ENSMUSP00000051368
ENOG410V5TM	centrin, EF-hand protein, 3	ENSPTRP00000029210	ENSMUSP00000022009
ENOG410V5TJ	Apolipoprotein M	ENSPTRP00000030671	ENSMUSP00000025249
ENOG410V5TH	Early B-cell factor	ENSPTRP00000005383, ENSPTRP00000029857	ENSMUSP00000080020, ENSMUSP00000101724, ENSMUSP00000105915, ENSMUSP00000022637
ENOG410V5TV	Tetratricopeptide repeat domain 27	ENSPTRP00000020297	ENSMUSP00000024882
ENOG410V5TT	Methylenetetrahydrofolate dehydrogenase (NADP dependent)	ENSPTRP00000031922, ENSPTRP00000010916	ENSMUSP00000036178, ENSMUSP00000021443
ENOG410V5TU	epithelial splicing regulatory protein	ENSPTRP00000014104, ENSPTRP00000045266	ENSMUSP00000111639, ENSMUSP00000103947
ENOG410V5TR	leucine rich repeat containing 3	ENSPTRP00000024064	ENSMUSP00000059570
ENOG410V5TS	Glioma tumor suppressor candidate region gene 2	ENSPTRP00000019247	ENSMUSP00000043981
ENOG410V5TQ	glutamine-fructose-6-phosphate transaminase	ENSPTRP00000041905, ENSPTRP00000030126	ENSMUSP00000109288, ENSMUSP00000020629
ENOG410V5TZ	spermatogenesis associated 1	ENSPTRP00000001559	ENSMUSP00000029839
ENOG410V5TY	acid-sensing (proton-gated) ion channel	ENSPTRP00000022141, ENSPTRP00000015351, ENSPTRP00000058876, ENSPTRP00000043681	ENSMUSP00000039914, ENSMUSP00000045598, ENSMUSP00000021045, ENSMUSP00000023758
ENOG410VAYG	HMG box domain containing 3	ENSPTRP00000029744	ENSMUSP00000089498
ENOG410VAYF	lysine (K)-specific demethylase 8	ENSPTRP00000013519	ENSMUSP00000033010
ENOG410VAYC	enolase family member 4	ENSPTRP00000005251	ENSMUSP00000062584
ENOG410VAYB	ribosomal protein, L22	ENSPTRP00000029812	ENSMUSP00000020820
ENOG410VAYM	ankyrin repeat and FYVE domain containing 1	ENSPTRP00000044343	ENSMUSP00000118751
ENOG410VAYN	Fibrinogen alpha chain	ENSPTRP00000028386	ENSMUSP00000133117
ENOG410VAYH	FK506 binding protein 3, 25kDa	ENSPTRP00000010692	ENSMUSP00000021332
ENOG410VAYJ	transmembrane protein 79	ENSPTRP00000002457	ENSMUSP00000001456
ENOG410VAYP	Cyclin-dependent kinase inhibitor	ENSPTRP00000008044	ENSMUSP00000003115, ENSMUSP00000128828
ENOG410VAYY	Acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ENSPTRP00000052172	ENSMUSP00000072483
ENOG410VAYX	Pleckstrin 2	ENSPTRP00000010962	ENSMUSP00000021544
ENOG410VAY5	tetratricopeptide repeat domain 28	ENSPTRP00000059381	ENSMUSP00000136116
ENOG410VAY4	tripartite motif containing 14	ENSPTRP00000036183	ENSMUSP00000038719
ENOG410VAY7	Solute carrier family 35, member B3	ENSPTRP00000030232	ENSMUSP00000021870
ENOG410VAY3	mRNA turnover 4 homolog (S. cerevisiae)	ENSPTRP00000000463	ENSMUSP00000030513
ENOG410VAY2	TNFAIP3 interacting protein 3	ENSPTRP00000028173	ENSMUSP00000109874
ENOG410VEY0	insulin-like growth factor binding protein 7	ENSPTRP00000027670	ENSMUSP00000128318
ENOG410VEY3	mannose-6-phosphate receptor, cation dependent	ENSPTRP00000007940	ENSMUSP00000007602
ENOG410VEY5	VCP-interacting membrane protein	ENSPTRP00000061059	ENSMUSP00000099301
ENOG410VEY4	nudix (nucleoside diphosphate linked moiety X)-type motif 17	ENSPTRP00000051941	ENSMUSP00000029742
ENOG410VEY7	UBX domain protein 2A	ENSPTRP00000020106	ENSMUSP00000020962
ENOG410VEY9	Hematopoietic SH2 domain containing	ENSPTRP00000018162	ENSMUSP00000071970
ENOG410VEYP	ubiquitin-conjugating enzyme e2S	ENSPTRP00000019791	ENSMUSP00000078459
ENOG410VEYS	eukaryotic translation initiation factor 4E nuclear import factor 1	ENSPTRP00000042676	ENSMUSP00000105676
ENOG410VEYR	deltex 3-like (Drosophila)	ENSPTRP00000026367	ENSMUSP00000080601
ENOG410VEYU	Ribonuclease	ENSPTRP00000046010	ENSMUSP00000095031, ENSMUSP00000086519
ENOG410VEYT	carcinoembryonic antigen-related cell adhesion molecule 19	ENSPTRP00000019084	ENSMUSP00000057433
ENOG410VEYW	Serine protease	ENSPTRP00000049180	ENSMUSP00000027299
ENOG410VEYV	Suppressor of IKBKE 1	ENSPTRP00000001959	ENSMUSP00000029447
ENOG410VEYX	fat storage-inducing transmembrane protein 1	ENSPTRP00000010511	ENSMUSP00000022826
ENOG410VEYZ	Iroquois homeobox	ENSPTRP00000013858	ENSMUSP00000022095, ENSMUSP00000034185
ENOG410VEYC	domain) containing	ENSPTRP00000000449, ENSPTRP00000053250	ENSMUSP00000130884, ENSMUSP00000100648, ENSMUSP00000068321
ENOG410VEYB	transmembrane protein 138	ENSPTRP00000006433	ENSMUSP00000025568
ENOG410VEYE	catechol-O-methyltransferase	ENSPTRP00000024231	ENSMUSP00000000335
ENOG410VEYG	coiled-coil domain containing 41	ENSPTRP00000009009	ENSMUSP00000020212
ENOG410VEYK	terminal uridylyl transferase 1, U6 snRNA-specific	ENSPTRP00000006480	ENSMUSP00000093958
ENOG410VEYJ	Shroom family member 4	ENSPTRP00000047412	ENSMUSP00000100070
ENOG410VEYM	spermidine spermine N1-acetyl transferase-like 1	ENSPTRP00000060025	ENSMUSP00000026601
ENOG410V759	WW domain binding protein 4	ENSPTRP00000009893	ENSMUSP00000022601
ENOG410V758	Cyclin-Dependent Kinase	ENSPTRP00000050657, ENSPTRP00000016424, ENSPTRP00000008631	ENSMUSP00000020099, ENSMUSP00000026416
ENOG410V753	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	ENSPTRP00000058822	ENSMUSP00000032815
ENOG410V750	mediator complex subunit 28	ENSPTRP00000027449	ENSMUSP00000115882
ENOG410V757	coiledcoil domain containing	ENSPTRP00000013930, ENSPTRP00000017162	ENSMUSP00000077107
ENOG410V756	phosphodiesterase	ENSPTRP00000001437, ENSPTRP00000040082	ENSMUSP00000037025, ENSMUSP00000113488, ENSMUSP00000102521, ENSMUSP00000034307
ENOG410V755	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSPTRP00000014116, ENSPTRP00000014119	ENSMUSP00000079613, ENSMUSP00000000312
ENOG410V754	Zinc finger, DHHC-type containing 23	ENSPTRP00000057168	ENSMUSP00000128650
ENOG410V75K	Fanconi anemia, complementation group I	ENSPTRP00000012702	ENSMUSP00000044931
ENOG410V75J	Zinc finger and AT hook domain containing	ENSPTRP00000053036	ENSMUSP00000125257
ENOG410V75I	potassium voltage-gated channel, delayed-rectifier, subfamily S, member	ENSPTRP00000020075, ENSPTRP00000061304	ENSMUSP00000060706, ENSMUSP00000072645
ENOG410V75H	Cullin 9	ENSPTRP00000031087, ENSPTRP00000031071	ENSMUSP00000067736, ENSMUSP00000049128
ENOG410V75N	Golgi phosphoprotein	ENSPTRP00000051805, ENSPTRP00000028758	ENSMUSP00000057375, ENSMUSP00000134799
ENOG410V75C	Phosphoribosyl transferase domain containing 1	ENSPTRP00000038394, ENSPTRP00000044831	ENSMUSP00000026723
ENOG410V75B	B9 protein domain 1	ENSPTRP00000015130	ENSMUSP00000099717
ENOG410V75G	Nedd4 family interacting protein 1	ENSPTRP00000029672	ENSMUSP00000025293
ENOG410V75F	PAP associated domain containing 4	ENSPTRP00000048313	ENSMUSP00000048124
ENOG410V75E	CD86 molecule	ENSPTRP00000026356	ENSMUSP00000087047
ENOG410V75D	centriole, cilia and spindle-associated protein	ENSPTRP00000003530	ENSMUSP00000034452
ENOG410V75Z	testis specific, 13	ENSPTRP00000058109	ENSMUSP00000040894
ENOG410V75Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSPTRP00000028458, ENSPTRP00000028456	ENSMUSP00000091197
ENOG410V75X	phosphodiesterase	ENSPTRP00000005907, ENSPTRP00000043463	ENSMUSP00000038749, ENSMUSP00000032909
ENOG410V75R	A kinase (PRKA) anchor protein 8-like	ENSPTRP00000018129	ENSMUSP00000051389
ENOG410V75Q	coiled-coil domain containing 174	ENSPTRP00000025280	ENSMUSP00000049280
ENOG410V75P	CD274 molecule	ENSPTRP00000035504	ENSMUSP00000016640
ENOG410V75W	methyltransferase like 13	ENSPTRP00000039131	ENSMUSP00000028017
ENOG410V75U	protease, serine, 48	ENSPTRP00000028340	ENSMUSP00000051199
ENOG410V75T	Solute carrier family 35 member B4	ENSPTRP00000047621	ENSMUSP00000019143
ENOG410V7IT	Myosin VA (Heavy chain 12, myoxin)	ENSPTRP00000017028, ENSPTRP00000042267, ENSPTRP00000012111	ENSMUSP00000073790, ENSMUSP00000116028, ENSMUSP00000042229
ENOG410V7IS	Feline leukemia virus subgroup C cellular receptor	ENSPTRP00000011136, ENSPTRP00000003311	ENSMUSP00000035569, ENSMUSP00000082777
ENOG410V7IQ	signal peptide peptidase like	ENSPTRP00000015834, ENSPTRP00000017396, ENSPTRP00000012087	ENSMUSP00000102613, ENSMUSP00000036289, ENSMUSP00000028844
ENOG410V7IZ	Multiple EGF-like-domains 9	ENSPTRP00000061149	ENSMUSP00000102982
ENOG410V7IG	Carnitine palmitoyltransferase	ENSPTRP00000045669, ENSPTRP00000046410, ENSPTRP00000006862	ENSMUSP00000069539, ENSMUSP00000104936, ENSMUSP00000025835
ENOG410V7IE	Ribosomal protein L39	ENSPTRP00000023786	ENSMUSP00000112283
ENOG410V7ID	solute carrier family 39 (zinc transporter), member 12	ENSPTRP00000050752	ENSMUSP00000080911
ENOG410V7IC	chromosome 7 open reading frame 43	ENSPTRP00000033334	ENSMUSP00000127440, ENSMUSP00000046898
ENOG410V7IB	aryl hydrocarbon receptor interacting	ENSPTRP00000014746, ENSPTRP00000006820	ENSMUSP00000036279, ENSMUSP00000025767, ENSMUSP00000137722
ENOG410V7IN	Calcyclin binding protein	ENSPTRP00000002838	ENSMUSP00000014370
ENOG410V7IK	furry homolog (Drosophila)	ENSPTRP00000027605, ENSPTRP00000053577	ENSMUSP00000092289, ENSMUSP00000084454
ENOG410V7I5	mitogen-activated protein kinase-activated protein kinase	ENSPTRP00000003207, ENSPTRP00000025842	ENSMUSP00000035194, ENSMUSP00000016672
ENOG410V7I1	Isopentenyl-diphosphate delta isomerase	ENSPTRP00000003781, ENSPTRP00000003784	ENSMUSP00000132780, ENSMUSP00000036621, ENSMUSP00000021573
ENOG410V7I9	OCIA domain containing 2	ENSPTRP00000053446	ENSMUSP00000084445
ENOG410V7I8	GTP cyclohydrolase	ENSPTRP00000055738	ENSMUSP00000087405
ENOG410VM9H	family with sequence similarity 24, member	ENSPTRP00000043233, ENSPTRP00000005331	ENSMUSP00000081551, ENSMUSP00000033146
ENOG410VM9J	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	ENSPTRP00000021234, ENSPTRP00000061270	ENSMUSP00000110741, ENSMUSP00000114705
ENOG410VM9M	ribosomal protein S29	ENSPTRP00000042669	ENSMUSP00000038352, ENSMUSP00000071652
ENOG410VM9A	ribosomal protein	ENSPTRP00000028709	ENSMUSP00000080203, ENSMUSP00000132343, ENSMUSP00000100655, ENSMUSP00000096592, ENSMUSP00000129788
ENOG410VM9C	cytochrome b-c1 complex subunit	ENSPTRP00000017350	ENSMUSP00000020372
ENOG410VM9Y	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	ENSPTRP00000029614	ENSMUSP00000014438
ENOG410VM9U	chromosome 1 open reading frame 162	ENSPTRP00000001900	ENSMUSP00000096354
ENOG410VM93	ribosomal protein	ENSPTRP00000058061	ENSMUSP00000110886
ENOG410VM97	LYR motif containing 4	ENSPTRP00000030206	ENSMUSP00000060779
ENOG410VCV9	Prolactin receptor	ENSPTRP00000028787	ENSMUSP00000122219
ENOG410VCV7	Dynein, cytoplasmic 2, light intermediate chain 1	ENSPTRP00000020390	ENSMUSP00000025101
ENOG410VCVZ	zinc finger and SCAN domain containing 10	ENSPTRP00000013125	ENSMUSP00000093255
ENOG410VCVX	Zinc finger protein 326	ENSPTRP00000001629	ENSMUSP00000031227
ENOG410VCVR	Outer dense fiber of sperm tails 1	ENSPTRP00000035028	ENSMUSP00000080632
ENOG410VFYN	C-type lectin domain family 4, member	ENSPTRP00000044951	ENSMUSP00000078351, ENSMUSP00000062441
ENOG410VFYA	myb-related transcription factor, partner of profilin	ENSPTRP00000048606	ENSMUSP00000058718
ENOG410VFYS	B-cell translocation gene 1, anti-proliferative	ENSPTRP00000008993	ENSMUSP00000038863
ENOG410VFYP	BH3 interacting domain death agonist	ENSPTRP00000024179	ENSMUSP00000004560
ENOG410VFYW	Spermatogenesis associated 9	ENSPTRP00000029247	ENSMUSP00000022081
ENOG410VFY9	leucine rich adaptor protein 1-like	ENSPTRP00000035528	ENSMUSP00000062628
ENOG410VFY4	transmembrane protein 35	ENSPTRP00000038018	ENSMUSP00000044926
ENOG410VBWV	SUMO-interacting motifs containing 1	ENSPTRP00000045079	ENSMUSP00000113676
ENOG410VFNF	complement component 1, r subcomponent-like	ENSPTRP00000007868	ENSMUSP00000042883
ENOG410VFN9	KH domain containing 3-like, subcortical maternal complex member	ENSPTRP00000049914	ENSMUSP00000034737
ENOG410VIEY	Solute carrier family 31 (Copper transporters), member 2	ENSPTRP00000036332	ENSMUSP00000081578
ENOG410VIEZ	potassium voltage-gated channel, Isk-related family, member 2	ENSPTRP00000053970	ENSMUSP00000048849
ENOG410VIES	ribosomal protein S20	ENSPTRP00000034700	ENSMUSP00000120528
ENOG410VIEG	chromosome 7 open reading frame 23	ENSPTRP00000033122	ENSMUSP00000111022
ENOG410VK3U	chromosome 14 open reading frame 180	ENSPTRP00000011556	ENSMUSP00000056220
ENOG410VFNJ	cytochrome P450, family 2, subfamily w, polypeptide 1	ENSPTRP00000043948	ENSMUSP00000031521
ENOG410V5I1	PQ loop repeat containing 2	ENSPTRP00000000467, ENSPTRP00000026794	ENSMUSP00000059772
ENOG410VHS7	interleukin 7	ENSPTRP00000034841	ENSMUSP00000126219
ENOG410V5I7	Rho GTPase activating protein 29	ENSPTRP00000045539, ENSPTRP00000049172	ENSMUSP00000097100, ENSMUSP00000044624
ENOG410V5IR	NEDD4 binding protein	ENSPTRP00000009818, ENSPTRP00000027537	ENSMUSP00000084519, ENSMUSP00000016279
ENOG410V5IU	phosphodiesterase	ENSPTRP00000008583, ENSPTRP00000021728, ENSPTRP00000032559	ENSMUSP00000023132, ENSMUSP00000046601, ENSMUSP00000099713
ENOG410V5IF	Cyclin B2	ENSPTRP00000012178, ENSPTRP00000029014	ENSMUSP00000071989, ENSMUSP00000034742
ENOG410VHSZ	Ribosomal protein S17	ENSPTRP00000032816	ENSMUSP00000040281
ENOG410V5C7	aminocarboxymuconate semialdehyde decarboxylase	ENSPTRP00000021366	ENSMUSP00000048482
ENOG410V5C6	Bardet-Biedl syndrome 7	ENSPTRP00000028183	ENSMUSP00000103791
ENOG410V5C4	Inositol(Myo)-1(Or 4)-monophosphatase	ENSPTRP00000034860, ENSPTRP00000016801	ENSMUSP00000025403, ENSMUSP00000068174
ENOG410V5C2	aryl hydrocarbon receptor nuclear translocator-like	ENSPTRP00000008173, ENSPTRP00000043973	ENSMUSP00000079373, ENSMUSP00000046235
ENOG410V5C1	T-box, brain, 1	ENSPTRP00000025366, ENSPTRP00000046292	ENSMUSP00000046787, ENSMUSP00000035020
ENOG410V5C9	Malonyl CoA ACP acyltransferase (Mitochondrial)	ENSPTRP00000024925	ENSMUSP00000051569
ENOG410V5C8	plexin b1	ENSPTRP00000025675, ENSPTRP00000059933, ENSPTRP00000003263, ENSPTRP00000026442	ENSMUSP00000071966, ENSMUSP00000002079, ENSMUSP00000063066, ENSMUSP00000110748, ENSMUSP00000004326
ENOG410V5CG	delta-aminolevulinic acid dehydratase	ENSPTRP00000036346	ENSMUSP00000030090
ENOG410V5CF	t-box transcription factor	ENSPTRP00000009329	ENSMUSP00000018407
ENOG410V5CE	Golgin A1	ENSPTRP00000036510	ENSMUSP00000037735
ENOG410V5CC	Src homology 2 domain containing	ENSPTRP00000012021, ENSPTRP00000049312, ENSPTRP00000002336, ENSPTRP00000017511	ENSMUSP00000045135, ENSMUSP00000047656, ENSMUSP00000060433, ENSMUSP00000059658
ENOG410V5CA	XK, Kell blood group complex subunit-related family, member 5	ENSPTRP00000054982	ENSMUSP00000093089
ENOG410V5CN	potassium channel tetramerisation domain containing	ENSPTRP00000029683, ENSPTRP00000010088, ENSPTRP00000027567	ENSMUSP00000055326, ENSMUSP00000089547, ENSMUSP00000037539
ENOG410V5CM	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	ENSPTRP00000044432	ENSMUSP00000080469, ENSMUSP00000032203, ENSMUSP00000059426, ENSMUSP00000091330
ENOG410V5CJ	nudix (nucleoside diphosphate linked moiety X)-type motif	ENSPTRP00000060698, ENSPTRP00000013191	ENSMUSP00000054201, ENSMUSP00000035179
ENOG410V5CI	ribosomal protein L7-like 1	ENSPTRP00000031053	ENSMUSP00000092888
ENOG410V5CW	FtsJ methyltransferase domain containing 2	ENSPTRP00000030955	ENSMUSP00000024816
ENOG410V5CU	FYVE and coiled-coil domain containing 1	ENSPTRP00000025591	ENSMUSP00000081764
ENOG410V5CR	general transcription factor IIE polypeptide 1 alpha 56kDa	ENSPTRP00000026327	ENSMUSP00000023525
ENOG410V5CY	Tetratricopeptide repeat domain 3	ENSPTRP00000023917	ENSMUSP00000112801
ENOG410V5CX	Src-like-adaptor 2	ENSPTRP00000023106	ENSMUSP00000029164
ENOG410VBRH	pleckstrin homology-like domain, family A, member 1	ENSPTRP00000008900	ENSMUSP00000132815
ENOG410VHSR	synuclein, beta	ENSPTRP00000030003	ENSMUSP00000043074
ENOG410VHSY	thyrotropin-releasing hormone	ENSPTRP00000026501	ENSMUSP00000006046
ENOG410VHSF	CD247 molecule	ENSPTRP00000044167	ENSMUSP00000027849
ENOG410VHSJ	gametocyte specific factor 1-like	ENSPTRP00000057866	ENSMUSP00000092237
ENOG410VAG5	large subunit GTPase 1 homolog (S. cerevisiae)	ENSPTRP00000050874	ENSMUSP00000112860
ENOG410VAG2	tetraspanin 6	ENSPTRP00000037400, ENSPTRP00000037997	ENSMUSP00000075692, ENSMUSP00000084838
ENOG410VAGS	PHD finger protein 11	ENSPTRP00000053515	ENSMUSP00000092779, ENSMUSP00000053146, ENSMUSP00000126987, ENSMUSP00000127857, ENSMUSP00000131536
ENOG410V915	calcium channel, voltage-dependent, gamma subunit	ENSPTRP00000059480, ENSPTRP00000019652	ENSMUSP00000090567, ENSMUSP00000047888
ENOG410VFFJ	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	ENSPTRP00000021536	ENSMUSP00000005365
ENOG410VFFI	CKLF-like MARVEL transmembrane domain containing 6	ENSPTRP00000025388	ENSMUSP00000035007
ENOG410VFFH	PDZ binding kinase	ENSPTRP00000034429	ENSMUSP00000022612
ENOG410VFFQ	Cd244 molecule, natural killer cell receptor 2B4	ENSPTRP00000045917	ENSMUSP00000004829
ENOG410VFF8	Family with sequence similarity 111, member A	ENSPTRP00000045111	ENSMUSP00000025595
ENOG410VFF3	testis expressed 19	ENSPTRP00000016669	ENSMUSP00000037027
ENOG410VFF7	transcription termination factor, RNA polymerase I	ENSPTRP00000036786	ENSMUSP00000097809
ENOG410WI2T	hyaluronic acid binding	ENSPTRP00000047649	ENSMUSP00000096379
ENOG410WI2K	Cell surface adhesion protein. Mediates the adherence of lymphocytes to endothelial cells of high endothelial venules in peripheral lymph nodes. Promotes initial tethering and rolling of leukocytes in endothelia (By similarity)	ENSPTRP00000002764	ENSMUSP00000027871
ENOG410WJF5	RNA binding motif protein 26	ENSPTRP00000010118	ENSMUSP00000097901
ENOG410VKF2	HOP homeobox	ENSPTRP00000027663	ENSMUSP00000080630
ENOG410VKF0	serine peptidase inhibitor, Kazal type 6	ENSPTRP00000029712	ENSMUSP00000069247
ENOG410VKF4	Constitutes 1-2 of the total bone protein. It binds strongly to apatite and calcium	ENSPTRP00000002450	ENSMUSP00000096555, ENSMUSP00000075425, ENSMUSP00000074965
ENOG410VKFF	Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein- effector interaction (By similarity)	ENSPTRP00000036311	ENSMUSP00000042705
ENOG410VKFG	TP53 regulated inhibitor of apoptosis 1	ENSPTRP00000009389	ENSMUSP00000031508
ENOG410VKFW	serine peptidase inhibitor, Kazal type 4	ENSPTRP00000049373	ENSMUSP00000030122
ENOG410VA3Y	Transmembrane protein 171	ENSPTRP00000029080	ENSMUSP00000070369
ENOG410VA3X	intraflagellar transport 81 homolog (Chlamydomonas)	ENSPTRP00000009228	ENSMUSP00000031426
ENOG410VA3S	Protein geranylgeranyltransferase type I, beta subunit	ENSPTRP00000029341	ENSMUSP00000025354
ENOG410VA3R	Transmembrane protein 131	ENSPTRP00000028375, ENSPTRP00000042087	ENSMUSP00000027290, ENSMUSP00000049808
ENOG410VA3Q	Glycerophosphodiester phosphodiesterase domain containing	ENSPTRP00000016072, ENSPTRP00000042536	ENSMUSP00000032944, ENSMUSP00000020804
ENOG410VA3P	Chromosome 16 open reading frame 62	ENSPTRP00000013376	ENSMUSP00000051263
ENOG410VA3W	neurensin 1	ENSPTRP00000050536	ENSMUSP00000055048
ENOG410VA3U	Poly (ADP-ribose) polymerase family, member	ENSPTRP00000026368, ENSPTRP00000026370	ENSMUSP00000037657
ENOG410VA3T	Delta-like 3 (Drosophila)	ENSPTRP00000018816	ENSMUSP00000103951
ENOG410VA3K	AarF domain containing kinase	ENSPTRP00000035408, ENSPTRP00000011191	ENSMUSP00000098724, ENSMUSP00000125055
ENOG410VA3M	Rab escort protein	ENSPTRP00000037969	ENSMUSP00000026607, ENSMUSP00000100600
ENOG410VA3C	ubiquitin-conjugating enzyme E2 J1	ENSPTRP00000043186	ENSMUSP00000118333
ENOG410VA3B	ISL LIM homeobox	ENSPTRP00000028882, ENSPTRP00000012508	ENSMUSP00000044879, ENSMUSP00000034869
ENOG410VA3A	family with sequence similarity 196, member A	ENSPTRP00000005373	ENSMUSP00000129222
ENOG410VA3G	Coiled-coil domain containing 138	ENSPTRP00000021124	ENSMUSP00000043040
ENOG410VA3F	Nucleolar protein 9	ENSPTRP00000000173	ENSMUSP00000081133
ENOG410VA3E	staphylococcal nuclease and tudor domain containing 1	ENSPTRP00000039059	ENSMUSP00000001460
ENOG410VA3D	Zinc finger protein	ENSPTRP00000018414, ENSPTRP00000019857, ENSPTRP00000018380	ENSMUSP00000079812
ENOG410V4V8	C. elegans	ENSPTRP00000009839, ENSPTRP00000060902	ENSMUSP00000076729, ENSMUSP00000074878
ENOG410VA32	Solute carrier family 25, member 27	ENSPTRP00000041426	ENSMUSP00000024705
ENOG410VA31	NME NM23 family member 5	ENSPTRP00000029545	ENSMUSP00000078269
ENOG410VA30	Centromere protein L	ENSPTRP00000036157	ENSMUSP00000107245
ENOG410VA35	V-set and immunoglobulin domain containing 2	ENSPTRP00000007571	ENSMUSP00000002008
ENOG410V4V2	Ectonucleoside triphosphate diphosphohydrolase	ENSPTRP00000038971, ENSPTRP00000011079	ENSMUSP00000092038, ENSMUSP00000071939
ENOG410V4V5	Aquarius homolog (Mouse)	ENSPTRP00000011771	ENSMUSP00000047157
ENOG410V4V7	chromosome 2 open reading frame 29	ENSPTRP00000021054	ENSMUSP00000003219
ENOG410VB5K	Ankyrin repeat and MYND domain containing 2	ENSPTRP00000032375	ENSMUSP00000039484
ENOG410VB5A	sulfatase modifying factor 1	ENSPTRP00000025117	ENSMUSP00000032191
ENOG410VB59	intraflagellar transport 140 homolog (Chlamydomonas)	ENSPTRP00000012987	ENSMUSP00000024983
ENOG410VKAJ	MYC associated factor X	ENSPTRP00000010940	ENSMUSP00000106025
ENOG410V4GR	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	ENSPTRP00000027669	ENSMUSP00000031167
ENOG410V4GD	isocitrate dehydrogenase NADP	ENSPTRP00000012731, ENSPTRP00000021992	ENSMUSP00000103007, ENSMUSP00000095316
ENOG410VJU8	chemokine (C-C motif) ligand 24	ENSPTRP00000033030	ENSMUSP00000004936
ENOG410VJUI	transcription elongation factor A (SII)-like 7	ENSPTRP00000038061	ENSMUSP00000108741
ENOG410V7BC	coatomer protein complex, subunit beta 2 (beta prime)	ENSPTRP00000026625	ENSMUSP00000035033
ENOG410V7GP	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence)	ENSPTRP00000045044	ENSMUSP00000003645
ENOG410V7GM	Citron (Rho-interacting, serine threonine kinase 21)	ENSPTRP00000009370	ENSMUSP00000062049
ENOG410V7GJ	Zinc finger, DHHC-type containing	ENSPTRP00000034266, ENSPTRP00000009711, ENSPTRP00000037907	ENSMUSP00000086900, ENSMUSP00000047615, ENSMUSP00000041727
ENOG410V7GD	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	ENSPTRP00000007198	ENSMUSP00000034405
ENOG410VMSJ	neuronal regeneration related protein homolog (rat)	ENSPTRP00000029319	ENSMUSP00000058132
ENOG410VMSZ	Purkinje cell protein 4	ENSPTRP00000023954	ENSMUSP00000062539
ENOG410VMS5	processing of precursor 7, ribonuclease P MRP subunit (S. cerevisiae)	ENSPTRP00000033389	ENSMUSP00000031728
ENOG410VMS2	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	ENSPTRP00000014128	ENSMUSP00000135029
ENOG410VMDE	secretoglobin, family 2A, member	ENSPTRP00000006474, ENSPTRP00000006473	ENSMUSP00000135964
ENOG410VI82	Doublesex and mab-3-related transcription factor	ENSPTRP00000037887	ENSMUSP00000098880, ENSMUSP00000033686
ENOG410VI8W	DPY30 domain containing 2	ENSPTRP00000004681	ENSMUSP00000022316
ENOG410V6G5	methyltransferase like 1	ENSPTRP00000008761	ENSMUSP00000006915
ENOG410V6G1	HAUS augmin-like complex subunit	ENSPTRP00000010434	ENSMUSP00000022784
ENOG410V6G3	Class II, major histocompatibility complex, transactivator	ENSPTRP00000013252	ENSMUSP00000023147
ENOG410V6G8	retinal pigment epithelium-derived rhodopsin homolog	ENSPTRP00000028110	ENSMUSP00000029648
ENOG410V6G9	t-box transcription factor	ENSPTRP00000042117, ENSPTRP00000016106, ENSPTRP00000016104	ENSMUSP00000000095, ENSMUSP00000018748, ENSMUSP00000000096
ENOG410V6GD	storkhead box 2	ENSPTRP00000028529	ENSMUSP00000078190
ENOG410V6GF	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	ENSPTRP00000033429	ENSMUSP00000019198
ENOG410V6GG	arachidonate 5-lipoxygenase-activating protein	ENSPTRP00000009797	ENSMUSP00000071130
ENOG410V6GA	ectodermal-neural cortex 1 (with BTB-like domain)	ENSPTRP00000029092, ENSPTRP00000051305	ENSMUSP00000089707, ENSMUSP00000038783
ENOG410V6GB	spleen focus forming virus (SFFV) proviral integration oncogene spi1	ENSPTRP00000006192	ENSMUSP00000002180
