ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410VC2E	RAD50 homolog (S. cerevisiae)	ENSMUSP00000020649	ENSRNOP00000062378
ENOG410VC2N	Granulin	ENSMUSP00000046340	ENSRNOP00000028557
ENOG410VC2K	EF-hand calcium binding domain 9	ENSMUSP00000060205	ENSRNOP00000005509
ENOG410VC2H	CD38 molecule	ENSMUSP00000030964	ENSRNOP00000004121
ENOG410VC2S	Transducin-like enhancer of split 6 (E(Sp1) homolog, Drosophila)	ENSMUSP00000071905	ENSRNOP00000008360
ENOG410WJJJ	Complement factor properdin	ENSMUSP00000001156	ENSRNOP00000031039
ENOG410WJJS	zinc finger, CCHC domain containing 7	ENSMUSP00000103454	ENSRNOP00000017707
ENOG410VKB9	COX assembly mitochondrial protein 2 homolog (S. cerevisiae)	ENSMUSP00000120966	ENSRNOP00000014997
ENOG410VKB4	Synovial sarcoma translocation gene on chromosome 18-like 2	ENSMUSP00000035113	ENSRNOP00000064507
ENOG410VKB2	chromosome 19 open reading frame 24	ENSMUSP00000037758	ENSRNOP00000021677
ENOG410VKBZ	mitochondrial inner membrane organizing system 1	ENSMUSP00000117583	ENSRNOP00000048242, ENSRNOP00000060661
ENOG410VKBT	glycophorin C (Gerbich blood group)	ENSMUSP00000134317	ENSRNOP00000049537
ENOG410VKBR	chromosome 7 open reading frame 34	ENSMUSP00000031900	ENSRNOP00000030740
ENOG410VKBQ	(chemokine (C-X-C motif) ligand	ENSMUSP00000074885, ENSMUSP00000031327, ENSMUSP00000031326	ENSRNOP00000038520, ENSRNOP00000003745, ENSRNOP00000003778
ENOG410VKBK	Chromosome 19 open reading frame 25	ENSMUSP00000020341	ENSRNOP00000021940
ENOG410VKBD	Gastrin stimulates the stomach mucosa to produce and secrete hydrochloric acid and the pancreas to secrete its digestive enzymes. It also stimulates smooth muscle contraction and increases blood circulation and water secretion in the stomach and intestine	ENSMUSP00000017309	ENSRNOP00000019863
ENOG410VKBB	musculoskeletal, embryonic nuclear protein 1	ENSMUSP00000048427	ENSRNOP00000023330
ENOG410V521	Twinfilin, actin-binding protein, homolog	ENSMUSP00000023087, ENSMUSP00000024047	ENSRNOP00000030138, ENSRNOP00000066595
ENOG410V523	DnaJ (Hsp40) homolog, subfamily C, member 17	ENSMUSP00000041841	ENSRNOP00000016692, ENSRNOP00000066986
ENOG410V529	Intermediate filament family orphan 1	ENSMUSP00000136776, ENSMUSP00000056373	ENSRNOP00000041102
ENOG410V52P	Proline rich 14	ENSMUSP00000033095	ENSRNOP00000051884
ENOG410V52Q	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	ENSMUSP00000059457	ENSRNOP00000065912
ENOG410V52S	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)	ENSMUSP00000011398	ENSRNOP00000007917
ENOG410V52T	family with sequence similarity 63, member	ENSMUSP00000102805, ENSMUSP00000037035	ENSRNOP00000053218, ENSRNOP00000020088
ENOG410V52U	Lipase, hormone-sensitive	ENSMUSP00000003207	ENSRNOP00000027911
ENOG410V52V	Zinc finger protein	ENSMUSP00000050577, ENSMUSP00000060040	ENSRNOP00000023180, ENSRNOP00000061568
ENOG410V52B	Olfactory receptor	ENSMUSP00000095758, ENSMUSP00000095757, ENSMUSP00000095770, ENSMUSP00000095756, ENSMUSP00000095773	ENSRNOP00000046168, ENSRNOP00000067661, ENSRNOP00000065009, ENSRNOP00000065927, ENSRNOP00000066814, ENSRNOP00000065192, ENSRNOP00000066317, ENSRNOP00000064206, ENSRNOP00000066128, ENSRNOP00000049053, ENSRNOP00000039372
ENOG410V52D	Diphosphoinositol pentakisphosphate kinase	ENSMUSP00000057632, ENSMUSP00000043401	ENSRNOP00000059430
ENOG410V52H	dipeptidylpeptidase	ENSMUSP00000044050, ENSMUSP00000113441, ENSMUSP00000099793, ENSMUSP00000108225	ENSRNOP00000045536, ENSRNOP00000043113, ENSRNOP00000003527
ENOG410V52I	timeless homolog (Drosophila)	ENSMUSP00000058021	ENSRNOP00000043366
ENOG410V52N	Hyaluronan binding protein 4	ENSMUSP00000021929	ENSRNOP00000025801
ENOG410VCBY	Zinc finger protein	ENSMUSP00000076637	ENSRNOP00000020367
ENOG410VJQ4	family with sequence similarity 174, member B	ENSMUSP00000103080	ENSRNOP00000016481
ENOG410VJQ0	Chromosome 20 open reading frame	ENSMUSP00000028898	ENSRNOP00000064836
ENOG410VJQ1	High mobility group AT-hook 1	ENSMUSP00000113011, ENSMUSP00000100667	ENSRNOP00000000580
ENOG410VJQN	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	ENSMUSP00000019067	ENSRNOP00000026335
ENOG410VJQF	FXYD domain containing ion transport regulator 1	ENSMUSP00000048460	ENSRNOP00000028624
ENOG410VJQD	Transmembrane protein 80	ENSMUSP00000026578	ENSRNOP00000038108
ENOG410VJQY	Unknown	ENSMUSP00000093970	ENSRNOP00000040218
ENOG410VJQV	keratin associated protein	ENSMUSP00000098048	ENSRNOP00000029649, ENSRNOP00000050816
ENOG410VH9H	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	ENSMUSP00000084259	ENSRNOP00000004866
ENOG410VMWK	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	ENSMUSP00000067117	ENSRNOP00000040692, ENSRNOP00000067011
ENOG410VMWJ	interferon alpha-inducible protein	ENSMUSP00000082142	ENSRNOP00000012296
ENOG410VMWC	cDNA 4932443I19 gene	ENSMUSP00000127953	ENSRNOP00000063769
ENOG410VMW3	FXYD domain containing ion transport regulator 2	ENSMUSP00000035429	ENSRNOP00000022074
ENOG410VMW2	CLECT	ENSMUSP00000062024	ENSRNOP00000036175
ENOG410V9F8	G protein-coupled receptor 182	ENSMUSP00000100882	ENSRNOP00000054500
ENOG410V9FG	GCN1 general control of amino-acid synthesis 1-like 1 (Yeast)	ENSMUSP00000069432	ENSRNOP00000001517
ENOG410V6F9	seryl-tRNA synthetase	ENSMUSP00000092216	ENSRNOP00000027166
ENOG410V6F7	glucuronidase, beta	ENSMUSP00000026613	ENSRNOP00000045033
ENOG410V6F6	Zinc finger protein 367	ENSMUSP00000050854	ENSRNOP00000030325
ENOG410W1R9	Tubulin, gamma complex associated protein 5	ENSMUSP00000032627	ENSRNOP00000052843
ENOG410W1R5	myosin light chain kinase	ENSMUSP00000034133, ENSMUSP00000028970, ENSMUSP00000060149	ENSRNOP00000064869, ENSRNOP00000023657, ENSRNOP00000011255, ENSRNOP00000066587
ENOG410V6FZ	fragile X mental retardation	ENSMUSP00000018909, ENSMUSP00000001620, ENSMUSP00000085906	ENSRNOP00000065667, ENSRNOP00000016163, ENSRNOP00000016227
ENOG410V6FI	Solute carrier family 25, member 45	ENSMUSP00000025732	ENSRNOP00000041281
ENOG410V6FA	protein kinase c	ENSMUSP00000030922, ENSMUSP00000103884	ENSRNOP00000012924, ENSRNOP00000021285
ENOG410V6FF	NEDD4 binding protein 1	ENSMUSP00000034074	ENSRNOP00000042818
ENOG410V6FD	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)	ENSMUSP00000098076	ENSRNOP00000057188
ENOG410VI49	Transmembrane protein 89	ENSMUSP00000026744	ENSRNOP00000046724
ENOG410VI41	proline rich membrane anchor 1	ENSMUSP00000074017	ENSRNOP00000011906
ENOG410VI46	H1 histone family, member N, testis-specific	ENSMUSP00000127616	ENSRNOP00000046187
ENOG410VI44	SH2 domain containing 6	ENSMUSP00000124673	ENSRNOP00000018252
ENOG410VI4N	angiotensin II receptor-associated protein	ENSMUSP00000030865	ENSRNOP00000011747
ENOG410VI4A	phospholipase A2, group IB, pancreas	ENSMUSP00000031495	ENSRNOP00000001525
ENOG410VI4F	protease, serine	ENSMUSP00000024936	ENSRNOP00000037368
ENOG410VI4Q	Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons (By similarity)	ENSMUSP00000063800	ENSRNOP00000009917
ENOG410VI4U	ankyrin repeat	ENSMUSP00000111054	ENSRNOP00000030352
ENOG410V6KP	Aquaporin 4	ENSMUSP00000078088	ENSRNOP00000063720
ENOG410V6KQ	V-set and immunoglobulin domain containing 10	ENSMUSP00000107598	ENSRNOP00000029661
ENOG410V6KU	zinc finger protein 750	ENSMUSP00000089951	ENSRNOP00000063957
ENOG410V6KZ	ELM2 and Myb SANT-like domain containing 1	ENSMUSP00000048120, ENSMUSP00000104149, ENSMUSP00000077103	ENSRNOP00000014158, ENSRNOP00000032697, ENSRNOP00000055040
ENOG410V6KB	Carboxypeptidase	ENSMUSP00000033149, ENSMUSP00000021201, ENSMUSP00000039804, ENSMUSP00000026210, ENSMUSP00000048555, ENSMUSP00000028897, ENSMUSP00000020399, ENSMUSP00000099987	ENSRNOP00000018846, ENSRNOP00000018221, ENSRNOP00000028818, ENSRNOP00000040541, ENSRNOP00000005262, ENSRNOP00000012109
ENOG410V6KF	insulin-like growth factor binding protein 4	ENSMUSP00000017637	ENSRNOP00000014153
ENOG410V6KG	Far upstream element (FUSE) binding protein	ENSMUSP00000053474, ENSMUSP00000007814, ENSMUSP00000101727	ENSRNOP00000066023, ENSRNOP00000021871, ENSRNOP00000061544
ENOG410V6KJ	lipase member	ENSMUSP00000062310	ENSRNOP00000041652
ENOG410V6KM	Heat shock protein 70kDa family, member 13	ENSMUSP00000048817	ENSRNOP00000049545
ENOG410V6K2	Pentatricopeptide repeat domain 2	ENSMUSP00000022153	ENSRNOP00000033932
ENOG410V6K3	ameloblastin (enamel matrix protein)	ENSMUSP00000031226	ENSRNOP00000005003
ENOG410V6K6	Exostosin	ENSMUSP00000028623, ENSMUSP00000030643, ENSMUSP00000076505	ENSRNOP00000031943, ENSRNOP00000022522, ENSRNOP00000012161
ENOG410V6K8	TRAF-type zinc finger domain containing 1	ENSMUSP00000047475	ENSRNOP00000036651
ENOG410V6K9	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)	ENSMUSP00000006716	ENSRNOP00000023439
ENOG410V613	WD repeat domain 49	ENSMUSP00000135661, ENSMUSP00000137584	ENSRNOP00000065737, ENSRNOP00000035837
ENOG410V611	stimulated by retinoic acid 8 homolog (mouse)	ENSMUSP00000031876	ENSRNOP00000014093
ENOG410VBV6	Olfactory receptor	ENSMUSP00000097462, ENSMUSP00000097481, ENSMUSP00000097484, ENSMUSP00000097486, ENSMUSP00000107204, ENSMUSP00000097465, ENSMUSP00000097460, ENSMUSP00000097483, ENSMUSP00000097478, ENSMUSP00000097479, ENSMUSP00000097482, ENSMUSP00000097466, ENSMUSP00000061191	ENSRNOP00000065184, ENSRNOP00000012929, ENSRNOP00000012912, ENSRNOP00000012938, ENSRNOP00000040660
ENOG410VBV5	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	ENSMUSP00000102107	ENSRNOP00000035825
ENOG410VBV4	TBC1 domain family, member 21	ENSMUSP00000037525	ENSRNOP00000011820
ENOG410VBV3	Tetratricopeptide repeat domain 13	ENSMUSP00000038484	ENSRNOP00000025548
ENOG410VBV2	Schlafen family member	ENSMUSP00000040060, ENSMUSP00000064819, ENSMUSP00000098282, ENSMUSP00000044435	ENSRNOP00000066205, ENSRNOP00000052816, ENSRNOP00000012874
ENOG410VBV1	AT rich interactive domain 2 (ARID, RFX-like)	ENSMUSP00000093969	ENSRNOP00000006970
ENOG410VBV0	ribosomal protein S11	ENSMUSP00000003521	ENSRNOP00000065928
ENOG410VBV9	Beta-1,3-N-acetylgalactosaminyltransferase 2	ENSMUSP00000097336	ENSRNOP00000022924
ENOG410VBV8	Lim homeobox	ENSMUSP00000018842, ENSMUSP00000031591	ENSRNOP00000001883, ENSRNOP00000003799
ENOG410VBVW	transmembrane protein 173	ENSMUSP00000111393	ENSRNOP00000063348
ENOG410VBVU	chromosome 10 open reading frame 71	ENSMUSP00000093741	ENSRNOP00000067550
ENOG410VBVS	Galactose-3-O-sulfotransferase	ENSMUSP00000092250, ENSMUSP00000095234, ENSMUSP00000098099, ENSMUSP00000058348, ENSMUSP00000136012	ENSRNOP00000001855, ENSRNOP00000038058, ENSRNOP00000062589
ENOG410VBVP	Reticulon	ENSMUSP00000099907, ENSMUSP00000077594	ENSRNOP00000064845, ENSRNOP00000006443
ENOG410VBVX	natriuretic peptide receptor C guanylate cyclase C (atrionatriuretic peptide receptor C)	ENSMUSP00000066737	ENSRNOP00000025966
ENOG410VBVG	spermatogenesis associated 32	ENSMUSP00000099365	ENSRNOP00000004371
ENOG410VBVF	activating transcription factor 6	ENSMUSP00000027974, ENSMUSP00000015605	ENSRNOP00000000492, ENSRNOP00000032766
ENOG410VBVE	ras homolog family member	ENSMUSP00000059498, ENSMUSP00000024956	ENSRNOP00000030536
ENOG410VBVD	chromosome 2 open reading frame 69	ENSMUSP00000040240	ENSRNOP00000013512
ENOG410VBVC	Rab interacting lysosomal protein	ENSMUSP00000037238	ENSRNOP00000005039
ENOG410VBVA	ubiquitination factor E4a	ENSMUSP00000113346	ENSRNOP00000021321
ENOG410VBVM	Major facilitator superfamily domain containing 6-like	ENSMUSP00000061601	ENSRNOP00000054049
ENOG410VBVI	Gem (Nuclear organelle) associated protein 4	ENSMUSP00000099558	ENSRNOP00000010187
ENOG410VBVH	Ecotropic viral integration site 2A	ENSMUSP00000099526	ENSRNOP00000035290
ENOG410VBYX	RNA binding motif protein	ENSMUSP00000089540	ENSRNOP00000035970
ENOG410VBYV	At rich interactive domain	ENSMUSP00000101517, ENSMUSP00000111463	ENSRNOP00000022939, ENSRNOP00000009173
ENOG410VBYU	argininosuccinate lyase	ENSMUSP00000123799	ENSRNOP00000001211
ENOG410VBYR	chromosome 12 open reading frame 4	ENSMUSP00000032497	ENSRNOP00000026838
ENOG410VBYS	sepiapterin reductase (7,8-dihydrobiopterin NADP oxidoreductase)	ENSMUSP00000048111	ENSRNOP00000020749
ENOG410VBYQ	Ring finger protein	ENSMUSP00000029740, ENSMUSP00000039486	ENSRNOP00000012317
ENOG410VBYI	Olfactory receptor	ENSMUSP00000090596, ENSMUSP00000090598	ENSRNOP00000042010
ENOG410VBYB	Myxovirus (Influenza virus) resistance	ENSMUSP00000024112	ENSRNOP00000002695
ENOG410VBY9	Synapse associated protein 1	ENSMUSP00000033723	ENSRNOP00000006584
ENOG410VKUU	c-myc binding protein	ENSMUSP00000030400	ENSRNOP00000023354
ENOG410VKUM	prostate and testis expressed 3	ENSMUSP00000136668	ENSRNOP00000064094
ENOG410WCI4	Low density lipoprotein receptor-related protein	ENSMUSP00000025856	ENSRNOP00000022213
ENOG410WCI5	Low density lipoprotein receptor	ENSMUSP00000034713	ENSRNOP00000013496
ENOG410WCIX	rho GTPase activating protein	ENSMUSP00000120357	ENSRNOP00000032436
ENOG410WH2Q	Periplakin	ENSMUSP00000039360	ENSRNOP00000004026
ENOG410WH2T	envoplakin	ENSMUSP00000037850	ENSRNOP00000012373
ENOG410WH27	DnaJ	ENSMUSP00000051453	ENSRNOP00000021984
ENOG410V6DH	fructose-bisphosphate aldolase	ENSMUSP00000017534, ENSMUSP00000079022, ENSMUSP00000029987, ENSMUSP00000084846, ENSMUSP00000077687	ENSRNOP00000015535, ENSRNOP00000032320, ENSRNOP00000041393, ENSRNOP00000009111
ENOG410WDHA	Abhydrolase domain containing 16B	ENSMUSP00000066520	ENSRNOP00000020210
ENOG410VDV1	Cytochrome C oxidase assembly protein	ENSMUSP00000131943, ENSMUSP00000090673	ENSRNOP00000039202, ENSRNOP00000060017
ENOG410VDVQ	Signal peptidase complex subunit 3 homolog (S. cerevisiae)	ENSMUSP00000136527	ENSRNOP00000062708
ENOG410VDVP	angiopoietin-like 7	ENSMUSP00000030840	ENSRNOP00000012726
ENOG410V8V9	Fatty Acid SyNthase	ENSMUSP00000052872	ENSRNOP00000064445
ENOG410V8V8	chromosome 1 open reading frame 228	ENSMUSP00000128613	ENSRNOP00000040555
ENOG410V8V5	May play a role in spermatogenesis (By similarity)	ENSMUSP00000097025	ENSRNOP00000024504
ENOG410V8V4	member RAS oncogene family	ENSMUSP00000031986, ENSMUSP00000077716	ENSRNOP00000012280, ENSRNOP00000013299
ENOG410V8V7	Prolylcarboxypeptidase (Angiotensinase C)	ENSMUSP00000075429, ENSMUSP00000028332	ENSRNOP00000014271, ENSRNOP00000017271
ENOG410V8V6	YEATS domain containing 2	ENSMUSP00000111222	ENSRNOP00000062371
ENOG410V8V1	S1 RNA binding domain 1	ENSMUSP00000092810	ENSRNOP00000065410
ENOG410V8V0	Olfactory receptor	ENSMUSP00000041119	ENSRNOP00000014730
ENOG410V8V3	Myeloid lymphoid or mixed-lineage leukemia	ENSMUSP00000135941, ENSMUSP00000043874	ENSRNOP00000063937, ENSRNOP00000044890
ENOG410V8V2	gem (nuclear organelle) associated protein 5	ENSMUSP00000131842	ENSRNOP00000050493
ENOG410V8VY	butyrophilin, subfamily	ENSMUSP00000041013, ENSMUSP00000106062, ENSMUSP00000046229	ENSRNOP00000023622, ENSRNOP00000065366, ENSRNOP00000056159
ENOG410V8VU	nuclear envelope pore membrane protein POM	ENSMUSP00000106801	ENSRNOP00000001968
ENOG410V8VT	Solute carrier family 35, member B2	ENSMUSP00000037834	ENSRNOP00000026929
ENOG410V8VW	Ankyrin repeat and sterile alpha motif domain containing 3	ENSMUSP00000023157	ENSRNOP00000004298
ENOG410V8VV	DENN MADD domain containing	ENSMUSP00000127187, ENSMUSP00000077067, ENSMUSP00000053035, ENSMUSP00000045367	ENSRNOP00000023807, ENSRNOP00000034734, ENSRNOP00000025365, ENSRNOP00000061141
ENOG410V8VQ	trafficking protein particle complex 12	ENSMUSP00000020954	ENSRNOP00000029577
ENOG410V8VP	chromosome 3 open reading frame 20	ENSMUSP00000053778	ENSRNOP00000038091
ENOG410V8VS	Thyroid hormone receptor interactor 4	ENSMUSP00000112385	ENSRNOP00000021863
ENOG410V8VR	Solute carrier family 39 (Zinc transporter), member 2	ENSMUSP00000038707	ENSRNOP00000013786
ENOG410V8VM	Carboxyl ester lipase (Bile salt-stimulated lipase)	ENSMUSP00000028161	ENSRNOP00000014572
ENOG410V8VN	transmembrane protein 198	ENSMUSP00000057865, ENSMUSP00000050451	ENSRNOP00000027208, ENSRNOP00000008929
ENOG410V8VI	WD repeat domain 18	ENSMUSP00000041049	ENSRNOP00000016733
ENOG410V8VH	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting (By similarity)	ENSMUSP00000065337	ENSRNOP00000059647
ENOG410V8VK	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)	ENSMUSP00000105358	ENSRNOP00000049148
ENOG410V8VJ	Neuronal pas domain protein	ENSMUSP00000098975, ENSMUSP00000002053	ENSRNOP00000045768, ENSRNOP00000020855
ENOG410V8VD	Olfactory receptor	ENSMUSP00000053565, ENSMUSP00000091656, ENSMUSP00000059233	ENSRNOP00000048551, ENSRNOP00000036253, ENSRNOP00000007157
ENOG410V8VG	cysteine and histidine-rich domain (CHORD) containing 1	ENSMUSP00000001825, ENSMUSP00000033674	ENSRNOP00000004888, ENSRNOP00000030171
ENOG410V8VF	ankyrin repeat and SOCS box containing 4	ENSMUSP00000040331	ENSRNOP00000012656
ENOG410V8VA	Mitogen-activated protein kinase	ENSMUSP00000040315, ENSMUSP00000089462	ENSRNOP00000050164, ENSRNOP00000013053
ENOG410V8VC	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins	ENSMUSP00000033012	ENSRNOP00000016292
ENOG410V8VB	Zinc finger protein 653	ENSMUSP00000045895	ENSRNOP00000018874
ENOG410VP67	seminal vesicle antigen-like	ENSMUSP00000014248, ENSMUSP00000079566, ENSMUSP00000031898	ENSRNOP00000021668, ENSRNOP00000021832
ENOG410VF5Z	Ornithine decarboxylase antizyme 3	ENSMUSP00000029787	ENSRNOP00000028303
ENOG410VF5Y	R3H domain and coiled-coil containing 1	ENSMUSP00000113450	ENSRNOP00000022706
ENOG410VF5W	transmembrane epididymal protein 1-like	ENSMUSP00000050017	ENSRNOP00000025544
ENOG410VF5U	Distal-less homeobox 1	ENSMUSP00000042413	ENSRNOP00000002078
ENOG410VF5R	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	ENSMUSP00000099860	ENSRNOP00000005898
ENOG410VF5P	Obg-like ATPase 1	ENSMUSP00000028517	ENSRNOP00000026040
ENOG410VF5N	Fanconi anemia, complementation group C	ENSMUSP00000072788	ENSRNOP00000022884
ENOG410VF5J	Kyphoscoliosis peptidase	ENSMUSP00000036032	ENSRNOP00000010992
ENOG410VF5K	non-SMC element 2, MMS21 homolog (S. cerevisiae)	ENSMUSP00000078641	ENSRNOP00000005376
ENOG410VF5B	lymphoid enhancer-binding factor 1	ENSMUSP00000029611	ENSRNOP00000013694
ENOG410VF5C	7 transmembrane receptor (rhodopsin family)	ENSMUSP00000055193	ENSRNOP00000063101
ENOG410VF5A	UDP glucuronosyltransferase 1 family, polypeptide	ENSMUSP00000108762, ENSMUSP00000014263	ENSRNOP00000066773, ENSRNOP00000065158, ENSRNOP00000064222
ENOG410VF58	Olfactory receptor	ENSMUSP00000097724	ENSRNOP00000049703, ENSRNOP00000047998
ENOG410VF51	archaelysin family metallopeptidase	ENSMUSP00000090157, ENSMUSP00000053110	ENSRNOP00000000263, ENSRNOP00000037159
ENOG410VDKN	Protein phosphatase 1 regulatory subunit 15A	ENSMUSP00000049488	ENSRNOP00000048451
ENOG410VDKH	preferentially expressed antigen in melanoma	ENSMUSP00000030326	ENSRNOP00000049620
ENOG410VMBY	BBSome interacting protein 1	ENSMUSP00000136324	ENSRNOP00000066521
ENOG410VMBS	cytochrome c oxidase assembly homolog	ENSMUSP00000054086, ENSMUSP00000112386	ENSRNOP00000056297
ENOG410VMBT	Thiosulfate sulfurtransferase rhodanese-like	ENSMUSP00000029915	ENSRNOP00000029537
ENOG410VMB9	tachykinin 4 (hemokinin)	ENSMUSP00000021242	ENSRNOP00000029541
ENOG410VMB2	WAP four-disulfide core domain 13	ENSMUSP00000085594	ENSRNOP00000066114
ENOG410WIX9	Bobby sox homolog (Drosophila)	ENSMUSP00000110132	ENSRNOP00000002700
ENOG410WIX8	capicua homolog (Drosophila)	ENSMUSP00000005578	ENSRNOP00000054275
ENOG410V6PP	integral membrane protein 2C	ENSMUSP00000027425	ENSRNOP00000023535
ENOG410V6PS	Death-domain associated protein	ENSMUSP00000078390	ENSRNOP00000000559
ENOG410V6PT	selectin E	ENSMUSP00000027874	ENSRNOP00000034797
ENOG410V6PZ	adenylyl cyclase-associated protein	ENSMUSP00000068260, ENSMUSP00000021802	ENSRNOP00000018711, ENSRNOP00000062591
ENOG410V6PA	neuronal calcium sensor 1	ENSMUSP00000000199	ENSRNOP00000011648
ENOG410V6PE	histone deacetylase	ENSMUSP00000085226	ENSRNOP00000004224
ENOG410V6PI	cytochrome P450, family 7, subfamily	ENSMUSP00000052989, ENSMUSP00000037487, ENSMUSP00000029905, ENSMUSP00000018113	ENSRNOP00000026355, ENSRNOP00000010891, ENSRNOP00000012819, ENSRNOP00000013116
ENOG410V6PH	Tryptophanyl-tRNA synthetase	ENSMUSP00000124625	ENSRNOP00000006128
ENOG410V6PK	Family with sequence similarity 92, member B	ENSMUSP00000038825	ENSRNOP00000036092
ENOG410V6PJ	olfactory receptor, family 5, subfamily A, member	ENSMUSP00000085124	ENSRNOP00000036199, ENSRNOP00000028606
ENOG410V6PM	fibroblast growth factor	ENSMUSP00000033581, ENSMUSP00000034014, ENSMUSP00000022545	ENSRNOP00000015368, ENSRNOP00000000121, ENSRNOP00000003463
ENOG410V6PN	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	ENSMUSP00000099964, ENSMUSP00000028172	ENSRNOP00000057988, ENSRNOP00000067875, ENSRNOP00000065701, ENSRNOP00000039997
ENOG410V6P1	von Willebrand factor A domain containing 9	ENSMUSP00000049284	ENSRNOP00000016798
ENOG410V6P0	G protein-coupled receptor, family C, group 5, member C	ENSMUSP00000061760	ENSRNOP00000004256
ENOG410V6P3	ATPase family, AAA domain containing	ENSMUSP00000043691, ENSMUSP00000047445	ENSRNOP00000008508
ENOG410V6P4	alkB, alkylation repair homolog 7 (E. coli)	ENSMUSP00000002737	ENSRNOP00000065514
ENOG410V6P7	cadherin-related family member 2	ENSMUSP00000043596	ENSRNOP00000024151
ENOG410V6P9	non-SMC element 1 homolog (S. cerevisiae)	ENSMUSP00000033006	ENSRNOP00000051912
ENOG410VBK4	Peptidyl-tRNA hydrolase 2	ENSMUSP00000103656	ENSRNOP00000005661
ENOG410VBK5	Z-DNA binding protein 1	ENSMUSP00000029018	ENSRNOP00000008365
ENOG410VBK6	Acyl-CoA thioesterase 7	ENSMUSP00000129121	ENSRNOP00000014213
ENOG410VBK0	TBC1 domain family member	ENSMUSP00000094989	ENSRNOP00000009105
ENOG410VBK2	May be signaling molecules that resemble neuropeptides (By similarity)	ENSMUSP00000092900	ENSRNOP00000050310
ENOG410VBK8	Methylmalonic aciduria (Cobalamin deficiency) cblA type	ENSMUSP00000048826	ENSRNOP00000015508
ENOG410VBK9	cyclin I	ENSMUSP00000050189	ENSRNOP00000002924
ENOG410VBKT	Chromosome 3 open reading frame 38	ENSMUSP00000076255	ENSRNOP00000015146, ENSRNOP00000066131, ENSRNOP00000000911
ENOG410VBKV	DNA fragmentation factor, 45kDa, alpha polypeptide	ENSMUSP00000030816	ENSRNOP00000063043
ENOG410VBKW	cell division cycle 7 homolog (S. cerevisiae)	ENSMUSP00000031221	ENSRNOP00000059094
ENOG410VBKQ	Period homolog 3 (Drosophila)	ENSMUSP00000099493	ENSRNOP00000024932
ENOG410VBKX	Mesogenin 1	ENSMUSP00000055001	ENSRNOP00000006482
ENOG410VBKY	integrator complex subunit 8	ENSMUSP00000038418	ENSRNOP00000010789
ENOG410VBKZ	G protein-coupled receptor 132	ENSMUSP00000021729	ENSRNOP00000018613
ENOG410VBKD	chromosome 19 open reading frame 38	ENSMUSP00000083547	ENSRNOP00000041436
ENOG410VBKE	zinc finger protein 14 homolog (mouse)	ENSMUSP00000076960	ENSRNOP00000065446, ENSRNOP00000035384
ENOG410VBKF	RAN binding protein 2	ENSMUSP00000003310	ENSRNOP00000063941
ENOG410VBKG	MAS-related GPR, member F	ENSMUSP00000033386	ENSRNOP00000017948
ENOG410VBKA	single-stranded DNA binding protein 1	ENSMUSP00000031971	ENSRNOP00000016217
ENOG410VBKB	Ras association (RalGDS AF-6) domain family member 6	ENSMUSP00000031317	ENSRNOP00000003836
ENOG410VBKM	CAS1 domain containing 1	ENSMUSP00000015333	ENSRNOP00000065104
