ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410VDU7	plasmalemma vesicle associated protein	ENSP00000252590	ENSPTRP00000018208
ENOG410VDU8	Olfactory receptor	ENSP00000369728	ENSPTRP00000048284
ENOG410VDU9	Involved both in the piRNA and miRNA metabolic processes. As a component of the meiotic nuage, plays a central role during oogenesis by repressing transposable elements and prevent their mobilization, which is essential for the germline integrity. Repression of transposable elements is mediated via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the repression of transposons. As a nuclear component, it is required for proper differentiation in the germline stem cell (GSC) lineage by repressing microRNA-7 (miR-7), thereby acting as an indirect regulator of bag-of-marbles (Bam). Acts by binding to the promoter of miR-7 gene and repressing its expression	ENSP00000356846	ENSPTRP00000051583
ENOG410VDUA	C-type lectin domain family 1 member A	ENSP00000326407	ENSPTRP00000007977
ENOG410VDUD	cell division cycle 20 homolog B (S. cerevisiae)	ENSP00000370781	ENSPTRP00000028902
ENOG410VDUE	Chromosome 2 open reading frame 68	ENSP00000304410	ENSPTRP00000060296
ENOG410VDUG	calcium ion binding	ENSP00000470564, ENSP00000387564	ENSPTRP00000036737
ENOG410VDUI	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	ENSP00000264027	ENSPTRP00000007529
ENOG410VDUJ	NOP2 Sun domain family, member 7	ENSP00000371201	ENSPTRP00000027545
ENOG410VDUM	phosphatidic acid phosphatase type 2C	ENSP00000329697	ENSPTRP00000017230
ENOG410VDUN	WBP2 N-terminal like	ENSP00000328800	ENSPTRP00000024877
ENOG410VDUQ	Aminopeptidase-like 1	ENSP00000348395	ENSPTRP00000057613
ENOG410VDUS	CKLF-like MARVEL transmembrane domain containing 3	ENSP00000354579	ENSPTRP00000042675
ENOG410VDUT	gem (nuclear organelle) associated protein 8	ENSP00000369895	ENSPTRP00000037137
ENOG410VDUU	homeobox C12	ENSP00000243103	ENSPTRP00000008555
ENOG410VDUV	growth arrest-specific 1	ENSP00000298743	ENSPTRP00000036030
ENOG410VDUW	spermatogenesis associated 2	ENSP00000289431	ENSPTRP00000023412
ENOG410VDUX	Hairless homolog (Mouse)	ENSP00000370826	ENSPTRP00000034333
ENOG410VDUY	Regulates the proliferation and differentiation of hematopoietic cells. Overexpression block the TPA-induced megakaryocytic differentiation in the K562 cell model. May also prevent cell apoptosis through the activation of the nuclear factor-kappa B (NF-kB)	ENSP00000259456	ENSPTRP00000036178
ENOG410VDUZ	the catalytic subunit of succinate dehydrogenase (SDH). SDH is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). In is unclear whether it participates in the chemistry of FAD attachment (enzymatic function) or acts as a chaperone that maintains	ENSP00000443130, ENSP00000301761	ENSPTRP00000006437
ENOG410VG5E	family with sequence similarity 163, member B	ENSP00000383515, ENSP00000349336	ENSPTRP00000041736
ENOG410VG54	atonal homolog 1 (Drosophila)	ENSP00000302216	ENSPTRP00000053413
ENOG410VQGY	chromosome 10 open reading frame 129	ENSP00000340296	ENSPTRP00000037620
ENOG410V5T7	cyclin D binding myb-like transcription factor 1	ENSP00000332171	ENSPTRP00000033121
ENOG410V5T4	Potassium voltage-gated channel, subfamily G, member 1	ENSP00000360626	ENSPTRP00000044623
ENOG410V5T3	tRNA methyltransferase 2 homolog	ENSP00000362026, ENSP00000252136	ENSPTRP00000047344, ENSPTRP00000024244
ENOG410V5T1	RB1-inducible coiled-coil 1	ENSP00000025008	ENSPTRP00000034671
ENOG410V5T8	Sperm associated antigen 6	ENSP00000365811	ENSPTRP00000003987
ENOG410V5T9	apolipoprotein O-like	ENSP00000362268	ENSPTRP00000037960
ENOG410V5TF	Cytochrome P450, family 51, subfamily A, polypeptide 1	ENSP00000003100	ENSPTRP00000033177
ENOG410V5TG	zinc finger and BTB domain containing 2	ENSP00000323183	ENSPTRP00000031927
ENOG410V5TD	Eukaryotic translation initiation factor 2, subunit	ENSP00000253039, ENSP00000445077	ENSPTRP00000054742
ENOG410V5TE	Chromosome 9 open reading frame 64	ENSP00000365522	ENSPTRP00000035999
ENOG410V5TN	Leukotriene B4 receptor	ENSP00000307445	ENSPTRP00000010552
ENOG410V5TM	centrin, EF-hand protein, 3	ENSP00000283122	ENSPTRP00000029210
ENOG410V5TJ	Apolipoprotein M	ENSP00000372930, ENSP00000401684, ENSP00000394610, ENSP00000405730, ENSP00000365081, ENSP00000389591, ENSP00000398944	ENSPTRP00000030671
ENOG410V5TH	Early B-cell factor	ENSP00000430241, ENSP00000357637, ENSP00000370022, ENSP00000322898	ENSPTRP00000029857, ENSPTRP00000005383
ENOG410V5TV	Tetratricopeptide repeat domain 27	ENSP00000313953	ENSPTRP00000020297
ENOG410V5TT	Methylenetetrahydrofolate dehydrogenase (NADP dependent)	ENSP00000450560, ENSP00000356290	ENSPTRP00000010916, ENSPTRP00000031922
ENOG410V5TU	epithelial splicing regulatory protein	ENSP00000405738, ENSP00000418748	ENSPTRP00000045266, ENSPTRP00000014104
ENOG410V5TR	leucine rich repeat containing 3	ENSP00000291592	ENSPTRP00000024064
ENOG410V5TS	Glioma tumor suppressor candidate region gene 2	ENSP00000246802	ENSPTRP00000019247
ENOG410V5TQ	glutamine-fructose-6-phosphate transaminase	ENSP00000354347, ENSP00000253778	ENSPTRP00000041905, ENSPTRP00000030126
ENOG410V5TY	acid-sensing (proton-gated) ion channel	ENSP00000225823, ENSP00000228468, ENSP00000326627, ENSP00000297512	ENSPTRP00000043681, ENSPTRP00000015351, ENSPTRP00000022141, ENSPTRP00000058876
ENOG410VAYD	keratin 38	ENSP00000246646, ENSP00000458693, ENSP00000225550	ENSPTRP00000015609, ENSPTRP00000015608
ENOG410VAYG	HMG box domain containing 3	ENSP00000421917	ENSPTRP00000029744
ENOG410VAYF	lysine (K)-specific demethylase 8	ENSP00000398410	ENSPTRP00000013519
ENOG410VAYC	enolase family member 4	ENSP00000345555	ENSPTRP00000005251
ENOG410VAYB	ribosomal protein, L22	ENSP00000431040	ENSPTRP00000029812
ENOG410VAYM	ankyrin repeat and FYVE domain containing 1	ENSP00000459775	ENSPTRP00000044343
ENOG410VAYN	Fibrinogen alpha chain	ENSP00000306361	ENSPTRP00000028386
ENOG410VAYH	FK506 binding protein 3, 25kDa	ENSP00000216330	ENSPTRP00000010692
ENOG410VAYJ	transmembrane protein 79	ENSP00000295694	ENSPTRP00000002457
ENOG410VAYP	Cyclin-dependent kinase inhibitor	ENSP00000228872, ENSP00000411552	ENSPTRP00000008044
ENOG410VAYY	Acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ENSP00000409612	ENSPTRP00000052172
ENOG410VAYX	Pleckstrin 2	ENSP00000216446	ENSPTRP00000010962
ENOG410VAY5	tetratricopeptide repeat domain 28	ENSP00000381003	ENSPTRP00000059381
ENOG410VAY4	tripartite motif containing 14	ENSP00000343990	ENSPTRP00000036183
ENOG410VAY7	Solute carrier family 35, member B3	ENSP00000368981	ENSPTRP00000030232
ENOG410VAY3	mRNA turnover 4 homolog (S. cerevisiae)	ENSP00000364320	ENSPTRP00000000463
ENOG410VAY2	TNFAIP3 interacting protein 3	ENSP00000057513	ENSPTRP00000028173
ENOG410VEY0	insulin-like growth factor binding protein 7	ENSP00000295666	ENSPTRP00000027670
ENOG410VEY3	mannose-6-phosphate receptor, cation dependent	ENSP00000000412	ENSPTRP00000007940
ENOG410VEY5	VCP-interacting membrane protein	ENSP00000381282	ENSPTRP00000061059
ENOG410VEY4	nudix (nucleoside diphosphate linked moiety X)-type motif 17	ENSP00000334437, ENSP00000462829	ENSPTRP00000051941
ENOG410VEY7	UBX domain protein 2A	ENSP00000312107	ENSPTRP00000020106
ENOG410VEY9	Hematopoietic SH2 domain containing	ENSP00000253680	ENSPTRP00000018162
ENOG410VEYP	ubiquitin-conjugating enzyme e2S	ENSP00000264552	ENSPTRP00000019791
ENOG410VEYS	eukaryotic translation initiation factor 4E nuclear import factor 1	ENSP00000328103	ENSPTRP00000042676
ENOG410VEYR	deltex 3-like (Drosophila)	ENSP00000296161	ENSPTRP00000026367
ENOG410VEYU	Ribonuclease	ENSP00000422846, ENSP00000426906	ENSPTRP00000046010
ENOG410VEYT	carcinoembryonic antigen-related cell adhesion molecule 19	ENSP00000384887	ENSPTRP00000019084
ENOG410VEYW	Serine protease	ENSP00000386773, ENSP00000387081	ENSPTRP00000049180
ENOG410VEYV	Suppressor of IKBKE 1	ENSP00000358541	ENSPTRP00000001959
ENOG410VEYX	fat storage-inducing transmembrane protein 1	ENSP00000267426	ENSPTRP00000010511
ENOG410VEYZ	Iroquois homeobox	ENSP00000290552, ENSP00000231357	ENSPTRP00000013858
ENOG410VEYC	domain) containing	ENSP00000379034, ENSP00000383505, ENSP00000321544	ENSPTRP00000053250, ENSPTRP00000000449
ENOG410VEYB	transmembrane protein 138	ENSP00000278826	ENSPTRP00000006433
ENOG410VEYE	catechol-O-methyltransferase	ENSP00000354511	ENSPTRP00000024231
ENOG410VEYG	coiled-coil domain containing 41	ENSP00000344655	ENSPTRP00000009009
ENOG410VEYK	terminal uridylyl transferase 1, U6 snRNA-specific	ENSP00000456163, ENSP00000308000	ENSPTRP00000006480
ENOG410VEYJ	Shroom family member 4	ENSP00000289292, ENSP00000468998	ENSPTRP00000047412
ENOG410VEYM	spermidine spermine N1-acetyl transferase-like 1	ENSP00000425421	ENSPTRP00000060025
ENOG410V759	WW domain binding protein 4	ENSP00000368801	ENSPTRP00000009893
ENOG410V758	Cyclin-Dependent Kinase	ENSP00000266970, ENSP00000400088, ENSP00000378699	ENSPTRP00000050657, ENSPTRP00000008631, ENSPTRP00000016424
ENOG410V753	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	ENSP00000312988	ENSPTRP00000058822
ENOG410V752	5-hydroxytryptamine (Serotonin) receptor	ENSP00000335511, ENSP00000371929, ENSP00000322617	ENSPTRP00000026973, ENSPTRP00000026975
ENOG410V750	mediator complex subunit 28	ENSP00000237380	ENSPTRP00000027449
ENOG410V757	coiledcoil domain containing	ENSP00000316237, ENSP00000258214	ENSPTRP00000013930, ENSPTRP00000017162
ENOG410V756	phosphodiesterase	ENSP00000347689, ENSP00000345502, ENSP00000270474, ENSP00000332116	ENSPTRP00000040082, ENSPTRP00000001437
ENOG410V755	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000264012, ENSP00000261769	ENSPTRP00000014116, ENSPTRP00000014119
ENOG410V754	Zinc finger, DHHC-type containing 23	ENSP00000330485	ENSPTRP00000057168
ENOG410V75K	Fanconi anemia, complementation group I	ENSP00000310842	ENSPTRP00000012702
ENOG410V75J	Zinc finger and AT hook domain containing	ENSP00000367069	ENSPTRP00000053036
ENOG410V75I	potassium voltage-gated channel, delayed-rectifier, subfamily S, member	ENSP00000287042, ENSP00000305824	ENSPTRP00000061304, ENSPTRP00000020075
ENOG410V75H	Cullin 9	ENSP00000252050, ENSP00000438788	ENSPTRP00000031087, ENSPTRP00000031071
ENOG410V75N	Golgi phosphoprotein	ENSP00000265070, ENSP00000271732	ENSPTRP00000028758, ENSPTRP00000051805
ENOG410V75C	Phosphoribosyl transferase domain containing 1	ENSP00000298556, ENSP00000318602	ENSPTRP00000044831, ENSPTRP00000038394
ENOG410V75B	B9 protein domain 1	ENSP00000261499	ENSPTRP00000015130
ENOG410V75G	Nedd4 family interacting protein 1	ENSP00000253814	ENSPTRP00000029672
ENOG410V75F	PAP associated domain containing 4	ENSP00000296783	ENSPTRP00000048313
ENOG410V75E	CD86 molecule	ENSP00000332049	ENSPTRP00000026356
ENOG410V75D	centriole, cilia and spindle-associated protein	ENSP00000284617	ENSPTRP00000003530
ENOG410V75Z	testis specific, 13	ENSP00000462005, ENSP00000348996	ENSPTRP00000058109
ENOG410V75Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide	ENSP00000377344, ENSP00000260184	ENSPTRP00000028458, ENSPTRP00000028456
ENOG410V75X	phosphodiesterase	ENSP00000282096, ENSP00000459710, ENSP00000351957	ENSPTRP00000005907, ENSPTRP00000043463
ENOG410V75S	family with sequence similarity 180, member B	ENSP00000349175	ENSPTRP00000044583
ENOG410V75R	A kinase (PRKA) anchor protein 8-like	ENSP00000380557	ENSPTRP00000018129
ENOG410V75Q	coiled-coil domain containing 174	ENSP00000373304	ENSPTRP00000025280
ENOG410V75P	CD274 molecule	ENSP00000370989	ENSPTRP00000035504
ENOG410V75W	methyltransferase like 13	ENSP00000354920	ENSPTRP00000039131
ENOG410V75U	protease, serine, 48	ENSP00000401328	ENSPTRP00000028340
ENOG410V75T	Solute carrier family 35 member B4	ENSP00000367770	ENSPTRP00000047621
ENOG410V7IT	Myosin VA (Heavy chain 12, myoxin)	ENSP00000285039, ENSP00000382177, ENSP00000261839	ENSPTRP00000017028, ENSPTRP00000042267, ENSPTRP00000012111
ENOG410V7IS	Feline leukemia virus subgroup C cellular receptor	ENSP00000355938, ENSP00000238667	ENSPTRP00000011136, ENSPTRP00000003311
ENOG410V7IQ	signal peptide peptidase like	ENSP00000332488, ENSP00000449076, ENSP00000261854	ENSPTRP00000017396, ENSPTRP00000015834, ENSPTRP00000012087
ENOG410V7IZ	Multiple EGF-like-domains 9	ENSP00000363040	ENSPTRP00000061149
ENOG410V7IG	Carnitine palmitoyltransferase	ENSP00000312189, ENSP00000319343, ENSP00000265641	ENSPTRP00000045669, ENSPTRP00000046410, ENSPTRP00000006862
ENOG410V7IE	Ribosomal protein L39	ENSP00000305682	ENSPTRP00000023786
ENOG410V7ID	solute carrier family 39 (zinc transporter), member 12	ENSP00000366586, ENSP00000455827	ENSPTRP00000050752
ENOG410V7IC	chromosome 7 open reading frame 43	ENSP00000324741	ENSPTRP00000033334
ENOG410V7IB	aryl hydrocarbon receptor interacting	ENSP00000279146, ENSP00000370521	ENSPTRP00000014746, ENSPTRP00000006820
ENOG410V7IN	Calcyclin binding protein	ENSP00000356652	ENSPTRP00000002838
ENOG410V7IK	furry homolog (Drosophila)	ENSP00000351113, ENSP00000369600	ENSPTRP00000053577, ENSPTRP00000027605
ENOG410V7I5	mitogen-activated protein kinase-activated protein kinase	ENSP00000356070, ENSP00000350639, ENSP00000462387	ENSPTRP00000025842, ENSPTRP00000003207
ENOG410V7I1	Isopentenyl-diphosphate delta isomerase	ENSP00000370748, ENSP00000277517	ENSPTRP00000003784, ENSPTRP00000003781
ENOG410V7I9	OCIA domain containing 2	ENSP00000423014	ENSPTRP00000053446
ENOG410V7I8	GTP cyclohydrolase	ENSP00000378890	ENSPTRP00000055738
ENOG410VM9H	family with sequence similarity 24, member	ENSP00000357892, ENSP00000357889	ENSPTRP00000005331, ENSPTRP00000043233
ENOG410VM9J	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	ENSP00000367453, ENSP00000440698	ENSPTRP00000021234, ENSPTRP00000061270
ENOG410VM9M	ribosomal protein S29	ENSP00000379339	ENSPTRP00000042669
ENOG410VM9A	ribosomal protein	ENSP00000294189	ENSPTRP00000028709
ENOG410VM9C	cytochrome b-c1 complex subunit	ENSP00000466420, ENSP00000262946	ENSPTRP00000017350
ENOG410VM9Y	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	ENSP00000252102	ENSPTRP00000029614
ENOG410VM9U	chromosome 1 open reading frame 162	ENSP00000344218	ENSPTRP00000001900
ENOG410VM93	ribosomal protein	ENSP00000355315	ENSPTRP00000058061
ENOG410VM97	LYR motif containing 4	ENSP00000443900	ENSPTRP00000030206
ENOG410VCV9	Prolactin receptor	ENSP00000371432	ENSPTRP00000028787
ENOG410VCV7	Dynein, cytoplasmic 2, light intermediate chain 1	ENSP00000260605	ENSPTRP00000020390
ENOG410VCVZ	zinc finger and SCAN domain containing 10	ENSP00000252463	ENSPTRP00000013125
ENOG410VCVX	Zinc finger protein 326	ENSP00000340796	ENSPTRP00000001629
ENOG410VCVR	Outer dense fiber of sperm tails 1	ENSP00000285402	ENSPTRP00000035028
ENOG410VFYN	C-type lectin domain family 4, member	ENSP00000229332	ENSPTRP00000044951
ENOG410VFYA	myb-related transcription factor, partner of profilin	ENSP00000325402	ENSPTRP00000048606
ENOG410VFYR	olfactory receptor, family 2, subfamily T, member 27	ENSP00000342008	ENSPTRP00000050946
ENOG410VFYS	B-cell translocation gene 1, anti-proliferative	ENSP00000256015	ENSPTRP00000008993
ENOG410VFYP	BH3 interacting domain death agonist	ENSP00000318822	ENSPTRP00000024179
ENOG410VFYQ	Zinc finger protein	ENSP00000365407, ENSP00000388864	ENSPTRP00000048468, ENSPTRP00000016889
ENOG410VFYV	PAS domain containing 1	ENSP00000359382	ENSPTRP00000038545
ENOG410VFYW	Spermatogenesis associated 9	ENSP00000274432	ENSPTRP00000029247
ENOG410VFY9	leucine rich adaptor protein 1-like	ENSP00000321026	ENSPTRP00000035528
ENOG410VFY4	transmembrane protein 35	ENSP00000362021	ENSPTRP00000038018
ENOG410VBWP	olfactory receptor, family 4, subfamily K, member 14	ENSP00000305011	ENSPTRP00000061387
ENOG410VBWV	SUMO-interacting motifs containing 1	ENSP00000342075	ENSPTRP00000045079
ENOG410VFNF	complement component 1, r subcomponent-like	ENSP00000266542	ENSPTRP00000007868
ENOG410VFN9	KH domain containing 3-like, subcortical maternal complex member	ENSP00000359392	ENSPTRP00000049914
ENOG410VIEY	Solute carrier family 31 (Copper transporters), member 2	ENSP00000259392	ENSPTRP00000036332
ENOG410VIEZ	potassium voltage-gated channel, Isk-related family, member 2	ENSP00000290310	ENSPTRP00000053970
ENOG410VIES	ribosomal protein S20	ENSP00000429374	ENSPTRP00000034700
ENOG410VIED	Primary component of whey, it binds retinol and is probably involved in the transport of that molecule	ENSP00000277508	ENSPTRP00000036874
ENOG410VIEG	chromosome 7 open reading frame 23	ENSP00000257637	ENSPTRP00000033122
ENOG410VK3U	chromosome 14 open reading frame 180	ENSP00000386487	ENSPTRP00000011556
ENOG410VFNJ	cytochrome P450, family 2, subfamily w, polypeptide 1	ENSP00000310149	ENSPTRP00000043948
ENOG410V5I1	PQ loop repeat containing 2	ENSP00000364295, ENSP00000413228	ENSPTRP00000000467, ENSPTRP00000026794
ENOG410VHS7	interleukin 7	ENSP00000263851	ENSPTRP00000034841
ENOG410V5I7	Rho GTPase activating protein 29	ENSP00000316772, ENSP00000260526	ENSPTRP00000045539, ENSPTRP00000049172
ENOG410V5IR	NEDD4 binding protein	ENSP00000261435, ENSP00000369473	ENSPTRP00000009818, ENSPTRP00000027537
ENOG410V5IU	phosphodiesterase	ENSP00000243052, ENSP00000331574, ENSP00000379496	ENSPTRP00000008583, ENSPTRP00000032559, ENSPTRP00000021728
ENOG410V5IF	Cyclin B2	ENSP00000288207, ENSP00000256442	ENSPTRP00000012178, ENSPTRP00000029014
ENOG410VHSZ	Ribosomal protein S17	ENSP00000390331, ENSP00000285298	ENSPTRP00000032816
ENOG410V5C7	aminocarboxymuconate semialdehyde decarboxylase	ENSP00000348459	ENSPTRP00000021366
ENOG410V5C6	Bardet-Biedl syndrome 7	ENSP00000264499	ENSPTRP00000028183
ENOG410V5C4	Inositol(Myo)-1(Or 4)-monophosphatase	ENSP00000269159, ENSP00000408526	ENSPTRP00000016801, ENSPTRP00000034860
ENOG410V5C2	aryl hydrocarbon receptor nuclear translocator-like	ENSP00000374357, ENSP00000266503	ENSPTRP00000008173, ENSPTRP00000043973
ENOG410V5C1	T-box, brain, 1	ENSP00000295743, ENSP00000374205	ENSPTRP00000046292, ENSPTRP00000025366
ENOG410V5C9	Malonyl CoA ACP acyltransferase (Mitochondrial)	ENSP00000290429	ENSPTRP00000024925
ENOG410V5C8	plexin b1	ENSP00000358696, ENSP00000472712, ENSP00000296440, ENSP00000470631, ENSP00000442736, ENSP00000323194, ENSP00000377061	ENSPTRP00000026442, ENSPTRP00000025675, ENSPTRP00000059933, ENSPTRP00000003263
ENOG410V5CG	delta-aminolevulinic acid dehydratase	ENSP00000386284	ENSPTRP00000036346
ENOG410V5CF	t-box transcription factor	ENSP00000309913	ENSPTRP00000009329
ENOG410V5CE	Golgin A1	ENSP00000362656	ENSPTRP00000036510
ENOG410V5CC	Src homology 2 domain containing	ENSP00000366936, ENSP00000446058, ENSP00000307369, ENSP00000290894	ENSPTRP00000017511, ENSPTRP00000012021, ENSPTRP00000002336, ENSPTRP00000049312
ENOG410V5CN	potassium channel tetramerisation domain containing	ENSP00000317141, ENSP00000353129, ENSP00000424151	ENSPTRP00000027567, ENSPTRP00000010088, ENSPTRP00000029683
ENOG410V5CM	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	ENSP00000323929, ENSP00000299698	ENSPTRP00000044432
ENOG410V5CJ	nudix (nucleoside diphosphate linked moiety X)-type motif	ENSP00000422375, ENSP00000306670	ENSPTRP00000013191, ENSPTRP00000060698
ENOG410V5CI	ribosomal protein L7-like 1	ENSP00000346063	ENSPTRP00000031053
ENOG410V5CW	FtsJ methyltransferase domain containing 2	ENSP00000362550	ENSPTRP00000030955
ENOG410V5CU	FYVE and coiled-coil domain containing 1	ENSP00000296137	ENSPTRP00000025591
ENOG410V5CR	general transcription factor IIE polypeptide 1 alpha 56kDa	ENSP00000283875	ENSPTRP00000026327
ENOG410V5CY	Tetratricopeptide repeat domain 3	ENSP00000346791	ENSPTRP00000023917
ENOG410V5CX	Src-like-adaptor 2	ENSP00000262866	ENSPTRP00000023106
ENOG410WERI	Golgin subfamily A member	ENSP00000398454, ENSP00000457904, ENSP00000460724, ENSP00000454322, ENSP00000455826, ENSP00000458130, ENSP00000456894, ENSP00000456401, ENSP00000399637, ENSP00000456927, ENSP00000423159, ENSP00000455298, ENSP00000323217, ENSP00000461760	ENSPTRP00000061272, ENSPTRP00000040347, ENSPTRP00000051654
ENOG410WERS	Zinc finger protein	ENSP00000254321	ENSPTRP00000017935
ENOG410WERR	PRAME family member	ENSP00000365294, ENSP00000365343, ENSP00000446004, ENSP00000365358	ENSPTRP00000000336, ENSPTRP00000052837
ENOG410WERP	PRAME family member	ENSP00000332134, ENSP00000365302	ENSPTRP00000050013
ENOG410WERT	Zinc finger protein	ENSP00000344791, ENSP00000322427	ENSPTRP00000019603
ENOG410WER8	Zinc finger protein	ENSP00000394248, ENSP00000456684	ENSPTRP00000055408
ENOG410VXJ8	chromosome 20 open reading frame 187	ENSP00000367499	ENSPTRP00000057516
ENOG410VXJ5	Sperm protein associated with the nucleus on the X chromosome	ENSP00000470584, ENSP00000470825, ENSP00000359529, ENSP00000359534	ENSPTRP00000057940, ENSPTRP00000049988, ENSPTRP00000047404
ENOG410VBRH	pleckstrin homology-like domain, family A, member 1	ENSP00000266671	ENSPTRP00000008900
ENOG410VHSR	synuclein, beta	ENSP00000308057	ENSPTRP00000030003
ENOG410VHSY	thyrotropin-releasing hormone	ENSP00000303452	ENSPTRP00000026501
ENOG410VHSF	CD247 molecule	ENSP00000354782	ENSPTRP00000044167
ENOG410VHSJ	gametocyte specific factor 1-like	ENSP00000362094	ENSPTRP00000057866
ENOG410VAG5	large subunit GTPase 1 homolog (S. cerevisiae)	ENSP00000265245	ENSPTRP00000050874
ENOG410VAG2	tetraspanin 6	ENSP00000473142, ENSP00000367743, ENSP00000417050, ENSP00000362111	ENSPTRP00000037997, ENSPTRP00000037400
ENOG410VAGS	PHD finger protein 11	ENSP00000367570	ENSPTRP00000053515
ENOG410V915	calcium channel, voltage-dependent, gamma subunit	ENSP00000222212, ENSP00000303092	ENSPTRP00000019652, ENSPTRP00000059480
ENOG410VRC3	Zinc finger protein	ENSP00000340683, ENSP00000411084, ENSP00000242804, ENSP00000301547, ENSP00000348419	ENSPTRP00000017968, ENSPTRP00000043387, ENSPTRP00000017945, ENSPTRP00000017974
ENOG410VFFJ	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	ENSP00000460327, ENSP00000282074	ENSPTRP00000021536
ENOG410VFFI	CKLF-like MARVEL transmembrane domain containing 6	ENSP00000205636	ENSPTRP00000025388
ENOG410VFFH	PDZ binding kinase	ENSP00000301905	ENSPTRP00000034429
ENOG410VFFQ	Cd244 molecule, natural killer cell receptor 2B4	ENSP00000357012	ENSPTRP00000045917
ENOG410VFF8	Family with sequence similarity 111, member A	ENSP00000355264	ENSPTRP00000045111
ENOG410VFF3	testis expressed 19	ENSP00000331500	ENSPTRP00000016669
ENOG410VFF2	zinc finger protein 233	ENSP00000375820	ENSPTRP00000019074
ENOG410VFF7	transcription termination factor, RNA polymerase I	ENSP00000333920	ENSPTRP00000036786
ENOG410WI2T	hyaluronic acid binding	ENSP00000364764	ENSPTRP00000047649
ENOG410WI2Z	Phospholipase A2 receptor 1, 180kDa	ENSP00000283243	ENSPTRP00000049089
ENOG410WI2K	Cell surface adhesion protein. Mediates the adherence of lymphocytes to endothelial cells of high endothelial venules in peripheral lymph nodes. Promotes initial tethering and rolling of leukocytes in endothelia (By similarity)	ENSP00000236147	ENSPTRP00000002764
ENOG410WI23	C-type lectin domain family 4 member E	ENSP00000299663	ENSPTRP00000007918
ENOG410WDTN	carcinoembryonic antigen-related cell adhesion molecule 4	ENSP00000221954	ENSPTRP00000018939
ENOG410WJF5	RNA binding motif protein 26	ENSP00000267229	ENSPTRP00000010118
ENOG410WJFR	chromobox homolog 5	ENSP00000209875	ENSPTRP00000008567
ENOG410WJFZ	endonuclease exonuclease phosphatase family domain containing 1	ENSP00000242108	ENSPTRP00000032600
ENOG410VKF2	HOP homeobox	ENSP00000450527	ENSPTRP00000027663
ENOG410VKF3	chromosome X open reading frame 61	ENSP00000472780, ENSP00000360961	ENSPTRP00000047297
ENOG410VKF0	serine peptidase inhibitor, Kazal type 6	ENSP00000324870	ENSPTRP00000029712
ENOG410VKF4	Constitutes 1-2 of the total bone protein. It binds strongly to apatite and calcium	ENSP00000357255	ENSPTRP00000002450
ENOG410VKF8	chromosome 1 open reading frame 147	ENSP00000464695, ENSP00000356086	ENSPTRP00000003200
ENOG410VKFF	Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein- effector interaction (By similarity)	ENSP00000363411	ENSPTRP00000036311
ENOG410VKFG	TP53 regulated inhibitor of apoptosis 1	ENSP00000449795	ENSPTRP00000009389
ENOG410VKFW	serine peptidase inhibitor, Kazal type 4	ENSP00000369045	ENSPTRP00000049373
ENOG410VA3Y	Transmembrane protein 171	ENSP00000415030	ENSPTRP00000029080
ENOG410VA3X	intraflagellar transport 81 homolog (Chlamydomonas)	ENSP00000242591	ENSPTRP00000009228
ENOG410VA3S	Protein geranylgeranyltransferase type I, beta subunit	ENSP00000404676	ENSPTRP00000029341
ENOG410VA3R	Transmembrane protein 131	ENSP00000386787, ENSP00000186436	ENSPTRP00000042087, ENSPTRP00000028375
ENOG410VA3Q	Glycerophosphodiester phosphodiesterase domain containing	ENSP00000384363, ENSP00000284116	ENSPTRP00000016072, ENSPTRP00000042536
ENOG410VA3P	Chromosome 16 open reading frame 62	ENSP00000400815	ENSPTRP00000013376
ENOG410VA3W	neurensin 1	ENSP00000367752	ENSPTRP00000050536
ENOG410VA3U	Poly (ADP-ribose) polymerase family, member	ENSP00000417214, ENSP00000418194	ENSPTRP00000026368, ENSPTRP00000026370
ENOG410VA3T	Delta-like 3 (Drosophila)	ENSP00000205143	ENSPTRP00000018816
ENOG410VA3K	AarF domain containing kinase	ENSP00000238561, ENSP00000310547, ENSP00000456977	ENSPTRP00000011191, ENSPTRP00000035408
ENOG410VA3M	Rab escort protein	ENSP00000350386, ENSP00000355511	ENSPTRP00000037969
